epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,58.6400,57.9000,56.9200,58.0200,57.0900,44.3000
2,59.1700,58.5000,58.7500,58.0700,59.3900,49.2500
3,58.7100,58.7600,59.7700,59.5200,58.1500,49.2800
4,57.9100,58.0000,57.8600,58.2800,58.7500,51.5400
5,58.0900,58.6700,57.7800,57.7800,59.0400,51.3800
6,57.9400,58.6500,58.8700,58.0600,58.9800,51.2900
7,58.5500,58.4000,59.5000,57.9200,59.0500,51.0500
8,60.3800,59.6400,59.7500,59.4300,59.2300,52.9000
9,58.3400,59.7400,58.7600,59.5800,59.1800,54.6900
10,59.0300,56.6300,59.8600,59.1800,60.1800,53.2700
11,59.9500,60.1000,59.7100,59.7300,57.5100,55.0400
12,59.5300,59.3000,59.1800,58.3400,59.1200,52.4900
13,59.0300,59.1300,58.6300,58.9900,59.0900,53.8800
14,60.2800,59.7600,59.9200,59.9600,60.9900,53.2100
15,58.9600,60.0100,59.7100,60.5200,60.1100,52.5900
16,59.4600,59.7100,59.9100,59.1500,59.6300,55.8000
17,59.2500,58.4100,59.4700,58.5500,57.8500,55.0900
18,59.3800,59.4500,59.7900,59.1500,59.4400,54.9000
19,59.2300,59.8700,60.0300,59.0800,59.8100,53.6700
20,59.1800,59.7000,59.8800,58.6300,60.2400,54.6200
21,59.5900,58.4800,59.2800,59.6400,58.0800,55.7100
22,58.9500,59.5700,59.4200,58.8500,58.5700,55.1100
23,60.0500,59.4900,59.2600,59.6100,59.2900,55.4500
24,59.9000,58.5600,59.3000,59.7200,59.9200,56.0700
25,60.5600,60.3600,60.0000,60.5100,57.9700,55.7400
26,59.4600,58.5600,59.8300,59.5400,59.3400,53.5100
27,59.2000,58.4100,59.9500,59.3500,59.6500,54.9600
28,59.6000,57.4300,60.0800,59.8400,58.5400,55.6000
29,58.9300,60.2800,60.0600,60.4800,59.0600,53.1800
30,59.3900,59.0600,60.2500,59.0100,58.0900,55.4800
31,59.8600,59.0900,60.1700,59.3400,59.0500,56.5400
32,60.3700,58.2700,59.4200,60.2400,59.5900,55.8800
33,59.5500,58.6000,60.0100,59.4700,59.7500,56.9800
34,60.4600,59.4000,59.3900,60.6000,58.6100,56.2100
35,58.4800,58.8300,58.9500,59.6400,59.2200,56.0800
36,59.0200,58.6100,60.4800,59.9300,58.8700,56.7600
37,59.5900,57.1300,59.1400,59.6800,58.5300,55.2800
38,59.4700,59.1800,60.6100,59.7300,59.5700,55.5100
39,58.8400,60.0200,59.9700,60.5000,60.3000,56.7700
40,60.3700,60.1500,59.2800,59.8100,60.3500,55.2000
41,59.6200,59.8200,60.0800,60.5100,59.9400,55.4600
42,60.2200,60.4000,59.7900,60.4500,60.2500,57.0100
43,61.0900,59.8700,59.3100,60.2500,59.3700,56.8300
44,59.9400,59.1900,59.6200,57.8600,59.8000,56.1300
45,59.4200,59.1300,59.0600,59.0800,60.0500,54.2000
46,60.5400,60.9300,58.9800,58.8500,60.7200,57.3200
47,59.8300,59.8700,58.5800,60.0400,61.0900,55.6700
48,59.0200,61.1700,60.2300,59.8600,59.6200,56.7600
49,60.5900,60.9000,60.8200,59.9400,60.8600,56.3300
50,61.4000,60.6400,60.5900,59.9200,59.7300,56.9100
51,60.9100,59.4500,59.9400,60.8200,59.7800,55.2600
52,60.3000,60.0900,60.0700,59.7800,60.1200,55.9000
53,58.9900,60.9700,60.5100,60.0800,59.7800,56.4600
54,59.3600,59.9500,60.3400,60.6100,61.0500,57.4400
55,60.8600,60.1300,59.7700,60.6800,61.1800,55.8200
56,60.4100,60.6200,60.6400,60.7500,59.2900,56.1900
57,61.5000,60.6000,61.1400,60.9000,59.8300,57.9500
58,59.9800,59.7700,60.8900,60.0100,59.0900,57.9100
59,60.1800,61.2100,59.4400,60.6700,60.1900,55.5300
60,61.1500,60.3300,60.9400,61.0500,59.7300,56.6700
61,65.6200,64.9700,65.4900,65.4000,65.6400,62.2500
62,66.1100,65.4300,66.2200,65.6700,65.9100,63.0700
63,66.0800,65.7000,66.0400,65.5100,66.1800,62.9600
64,65.8500,65.7800,66.0200,65.8900,66.5200,63.0100
65,65.9300,65.7600,65.9800,65.8300,66.6000,63.0300
66,66.0200,65.9100,66.0000,65.7600,66.6300,63.3700
67,65.9800,65.8700,66.3500,65.7900,66.4400,63.3400
68,65.9100,65.9300,65.9700,65.7800,66.4500,63.1400
69,66.2700,65.8700,66.0200,65.7700,66.2100,63.1700
70,66.5400,66.1000,66.0900,66.0200,66.4600,63.6300
71,66.3300,65.9500,66.0200,65.6800,66.6000,63.5400
72,66.2600,66.0800,65.9900,65.8700,66.6000,63.2400
73,66.5800,65.9200,66.3800,66.0500,66.8700,63.2000
74,66.5600,66.2800,66.1900,66.0100,66.5500,63.5300
75,66.2500,65.8300,66.4100,66.2300,66.5000,63.1400
76,66.3600,66.3300,66.3800,65.8600,66.8400,63.0800
77,66.5300,66.2000,66.3600,66.1400,66.6200,63.5800
78,66.3500,65.9700,66.2600,66.0800,66.5800,63.5400
