n,par_fps,par_lat,pipe_fps,pipe_lat
1,149.1886,6.6695,149.1886,6.6695
2,293.5923,6.7084,147.3809,8.7793
3,424.5764,6.8431,176.3360,9.4695
4,548.1195,6.9532,187.8933,11.5622
5,676.9019,6.9660,196.4226,11.9862
6,804.3428,7.0138,205.4971,13.7485
7,930.0350,7.0923,175.3135,18.4426
8,1057.5320,7.1548,174.8712,18.7833
