epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,57.4900,55.2900,56.3400,56.0600,56.9800,17.6200
2,57.2100,58.0000,58.8500,58.5900,58.2200,21.5400
3,59.6500,58.7800,58.7200,59.3200,57.6900,26.3700
4,58.3800,57.0600,57.7700,57.8600,56.8200,27.6400
5,58.6600,59.1900,57.6800,58.5900,58.8700,27.1000
6,58.9400,59.6700,58.6800,58.2500,57.9200,32.0900
7,58.6300,59.0000,57.5500,58.9400,58.2900,28.8700
8,59.5300,59.7800,59.9600,60.2500,58.4600,29.9300
9,58.1200,58.2400,57.4200,59.6800,57.8600,32.8700
10,58.0300,58.8400,56.9000,58.8500,58.6200,32.6600
11,60.0700,59.5600,59.9700,60.3200,57.8200,34.5700
12,58.6800,59.5500,58.0200,58.4900,57.9700,36.9600
13,57.9700,58.0700,57.0800,57.6100,58.0200,33.3900
14,59.2700,58.5100,60.0800,59.5100,58.5300,37.3000
15,59.3200,59.0400,59.6400,58.4500,58.6800,38.5000
16,59.7000,59.2600,59.0800,58.4600,58.5100,37.5500
17,57.9400,58.2600,59.5800,58.6900,58.3400,39.8100
18,60.4100,59.1000,58.2000,58.8900,58.2100,35.5400
19,59.5400,58.1700,59.3100,58.8500,59.4800,39.7400
20,59.0800,58.3000,58.8600,58.9400,59.3500,35.2000
21,58.9500,58.4200,58.7600,60.5200,59.4900,38.5200
22,59.1500,60.1500,59.5800,59.3600,58.9300,40.7600
23,58.1800,57.2300,58.2100,59.6200,58.1100,38.9700
24,59.6000,59.2400,58.5300,59.3600,56.8700,42.1400
25,59.6400,60.6600,60.6900,60.3300,57.5700,39.9100
26,59.8800,58.9000,59.5100,58.8400,59.1300,41.9400
27,59.6400,59.6700,59.5500,59.5100,59.7800,39.0000
28,59.7500,59.0200,59.2800,59.6400,59.9000,40.6500
29,59.6600,60.3200,59.1600,59.6900,60.2900,40.4800
30,59.7400,58.6700,58.6100,58.6400,58.5200,43.4800
31,60.2300,60.3100,59.7100,58.9100,58.4000,42.8900
32,59.5600,60.3400,59.4900,59.2300,59.4700,31.7800
33,59.7000,58.9800,59.8600,59.4900,60.2300,43.0900
34,59.2600,60.8500,60.5800,60.1400,58.8100,40.5100
35,60.6000,58.2900,58.0700,59.1100,59.1900,42.1200
36,60.4300,59.5500,59.5600,60.5900,59.3700,34.2200
