n,par_fps,par_lat,pipe_fps,pipe_lat
1,136.9180,7.2804,136.9180,7.2804
2,269.9539,7.3064,168.7448,9.0849
3,388.8660,7.4978,171.5405,11.8068
4,508.7085,7.5155,147.9845,14.9443
5,629.9026,7.5525,138.3993,18.1988
6,750.5321,7.5831,149.3446,19.1594
7,870.3608,7.6541,168.9431,21.2492
8,970.9252,7.8080,183.7559,24.2570
