epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,58.0100,58.1700,58.9800,56.9500,57.5000,54.0000
2,58.6300,58.1800,59.4300,58.2500,58.8000,54.2700
3,59.1300,59.9100,59.1100,59.3600,59.1900,56.9400
4,58.3400,58.4800,58.5100,58.8800,59.6100,55.7900
5,58.2200,58.7200,57.9400,58.3400,58.8700,57.5800
6,58.4500,58.6100,59.2900,59.2800,59.6300,57.2900
7,59.1200,58.2100,59.3600,59.1500,59.7600,57.8100
8,59.8000,60.1700,60.5300,58.8200,57.4700,57.4100
9,59.2400,59.2300,59.0100,59.5800,58.0100,57.5800
10,58.7100,59.5800,58.7700,57.7000,59.1100,57.2500
11,59.8300,59.9200,59.7300,59.4100,59.5800,57.9600
12,59.1300,59.0700,59.0800,58.5900,59.6400,58.1000
13,58.3200,57.6800,58.9600,59.4800,59.3200,57.6400
14,59.8000,59.0400,60.4000,59.7600,59.4000,58.2900
15,60.7500,60.1400,59.4700,60.1300,58.5200,57.8400
16,59.2800,59.5600,60.3800,58.8300,60.2400,58.1700
17,58.7800,58.6100,59.9500,58.6500,60.0700,57.2300
18,59.9500,58.1800,59.6300,59.7100,59.7400,59.7600
19,59.8500,60.1100,59.6600,59.5600,59.3100,57.5900
20,59.5700,59.8900,58.3900,59.1700,59.5500,56.4400
21,58.6400,59.4800,59.1000,59.9000,60.5200,57.9100
22,59.8400,59.9900,60.3500,60.2200,59.4000,58.2200
23,58.9300,59.6000,59.8700,58.9900,59.6600,55.6800
24,57.9700,59.4700,59.6600,59.0700,60.0600,57.7600
25,60.8800,58.9900,60.4500,60.7500,59.8100,57.9100
26,59.7900,59.4200,59.3300,59.8700,60.3200,57.5100
27,59.7900,58.9100,59.7600,60.2500,59.8300,56.9100
28,60.1100,58.6700,58.3500,59.4900,58.1700,58.2900
29,61.0000,60.7100,60.9800,59.8600,59.5700,57.0300
30,59.8200,59.6100,59.4100,59.4300,59.8300,56.2700
31,59.4100,59.4300,58.6700,60.2300,59.2800,57.7500
32,59.8800,60.6900,59.4900,59.5100,60.2200,57.9400
33,59.1000,59.4300,60.6400,61.3100,58.3700,58.8900
34,60.3000,60.4600,60.4300,61.1100,58.4500,57.3100
35,58.2500,58.6700,59.1000,58.0700,60.4400,58.5500
36,60.0700,59.2600,60.0200,60.2700,60.0000,58.3300
37,59.6200,57.9900,58.9100,59.5100,58.7800,56.0500
