n,par_fps,par_lat,pipe_fps,pipe_lat
1,41.9542,23.8026,41.9542,23.8026
2,83.8302,23.7715,161.8862,10.3949
3,125.4590,23.7820,207.8215,12.3053
4,166.6781,23.8045,217.3733,13.9244
5,207.4627,23.8525,260.6220,15.9116
6,247.8512,23.8999,273.1897,17.9970
7,288.0429,23.9486,292.3884,19.6086
8,326.7187,24.0748,305.7624,21.7749
