n,par_fps,par_lat,pipe_fps,pipe_lat
1,15.9684,62.5911,15.9684,62.5911
2,31.9197,62.5724,40.6965,45.5510
3,47.8879,62.5160,80.2463,28.7839
4,63.7164,62.5866,171.3429,17.8655
5,79.5250,62.6203,192.4965,19.9625
6,95.1505,62.7497,208.9174,21.9854
7,110.9425,62.7457,220.7369,25.0789
8,126.4701,62.8607,243.7515,26.3947
