epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,48.4200,48.8000,48.9600,49.8300,47.1800
2,49.2500,49.6600,49.1000,50.3000,47.6600
3,50.3500,50.3800,50.3100,49.8000,49.0400
4,49.4800,49.5300,50.4000,51.2000,47.0400
5,49.5100,49.8200,49.5500,49.4000,49.4600
6,49.2200,49.9700,49.7400,51.8500,48.0700
7,50.2700,49.9100,50.0500,50.4200,48.0500
8,48.8800,48.8000,48.4600,50.6100,48.1200
9,50.7800,51.1600,51.6500,50.6600,50.7600
10,50.3400,50.9000,50.7200,50.9800,49.8800
11,50.9200,50.4600,51.2600,49.9500,49.3200
12,50.9400,50.9200,51.4900,51.0000,49.9400
13,50.9700,50.5300,50.8700,51.3500,49.7500
14,50.9900,51.0300,51.0400,51.8000,50.2100
15,51.0100,50.1600,50.9300,51.2400,49.6900
16,51.4100,51.6400,50.8800,51.1700,50.6600
17,51.3000,51.0200,52.1400,49.3600,50.8500
18,51.0500,50.8400,51.5900,51.5300,51.1800
19,51.7500,50.5000,49.6400,51.5200,50.6300
20,50.9100,50.8100,51.6600,51.7700,50.7700
21,52.2100,51.6000,51.2500,50.1700,50.8400
22,50.8300,49.9700,50.6400,50.8700,50.5000
23,52.1300,51.7100,51.9100,50.6000,51.0000
24,52.0300,52.0000,51.5600,52.0500,51.1000
25,51.5200,52.0100,51.3800,51.5200,50.9900
26,50.3600,49.9100,50.9300,51.8500,48.9200
27,50.2500,50.9300,51.0900,52.1200,52.0800
28,50.6500,50.8500,50.3300,52.4800,50.2600
29,50.1100,50.6300,50.8100,52.2900,50.8100
30,51.7100,52.3300,52.1700,51.3700,51.2100
31,51.1900,51.5800,52.0300,51.1900,51.5000
32,52.2300,50.4600,52.4300,50.5500,50.0000
33,51.9800,51.4700,51.5000,51.8000,49.6500
34,52.9500,52.1800,52.0100,51.0200,51.8400
35,51.6800,51.8900,51.2500,52.6500,51.1600
36,51.2700,52.4400,52.9200,50.5700,52.1900
37,52.2300,52.1400,51.2800,52.0000,52.2200
38,51.3900,50.9600,51.0900,52.5600,51.0600
39,50.8600,52.7900,52.6100,51.2500,52.0500
40,52.6200,51.4100,52.9600,52.6000,51.3600
41,52.0700,52.2000,52.3600,51.9500,52.3100
42,52.9100,51.9300,51.7900,53.1200,51.9500
43,53.2500,52.4700,53.0800,51.9200,51.9800
44,52.7600,52.1500,52.7400,52.2900,52.4400
45,52.4300,52.6300,52.6200,50.3500,51.4600
46,51.4600,51.3200,51.8600,50.7500,52.8000
47,53.4000,51.1000,52.2000,49.9600,50.9600
48,52.4200,52.1500,52.3400,52.8100,51.4900
49,52.6000,51.0700,52.1400,51.7500,51.9000
50,53.0900,52.1200,52.3100,52.8300,52.9800
51,53.3000,53.3800,53.5200,53.8000,52.5700
52,52.5400,51.6400,52.5000,52.7200,52.0500
53,52.9100,53.0800,52.9400,52.8900,52.4800
54,50.4200,49.8900,50.6600,52.9200,50.0300
55,51.5600,52.2400,53.9800,52.0700,52.7700
56,50.9200,52.0800,52.4900,53.4600,52.4400
57,52.4300,52.2900,51.3100,53.2900,53.4400
58,52.1900,50.8900,50.8200,52.3100,51.4900
59,51.7000,51.8600,51.2200,53.5700,52.0300
60,51.6400,51.4700,52.4100,53.4600,52.9400
61,57.2700,57.3000,57.3400,57.3700,57.6300
62,57.5600,57.4100,57.2100,57.9100,58.1100
63,57.5500,57.2300,57.4600,57.7100,58.2100
64,57.5900,57.7700,57.6900,58.1200,58.1600
65,57.9100,57.5100,57.6900,57.7400,58.0700
66,57.8200,57.8600,57.8500,58.0200,58.4400
67,58.4000,58.1300,58.0700,57.9400,58.2200
68,57.9500,57.9300,57.6900,57.9400,58.2900
69,57.6000,57.8900,57.9200,57.3500,58.5800
70,57.7200,58.2100,57.7800,57.8300,58.1200
71,57.7700,57.7700,57.9000,58.0600,58.2600
72,57.8500,57.3200,57.8100,57.9100,58.0600
73,57.7300,57.7400,57.6500,58.0300,58.3800
74,57.5100,57.9600,57.7500,57.6400,58.3000
75,57.7500,57.7800,57.7300,57.9900,58.5800
76,57.5400,57.8700,57.9600,57.6700,58.4000
77,57.2000,57.6000,57.8800,58.3200,58.3100
78,57.9600,57.8000,57.4100,57.7400,58.3000
79,57.6500,57.8000,57.6300,58.4900,58.5200
80,57.7600,57.9500,57.7500,57.8800,58.2900
81,58.2000,58.0300,58.0600,58.2100,58.9300
82,58.4600,57.9500,58.1300,58.2200,59.0500
83,58.2600,58.2000,58.1700,58.3400,58.9500
84,58.0600,58.1600,58.0400,58.4800,59.0500
85,58.2000,58.3200,58.1600,58.3100,59.2000
86,58.3100,58.2800,58.2300,58.3900,59.1500
87,58.4700,58.2400,58.3900,58.4300,59.1300
88,58.0800,58.4300,58.2500,58.2700,59.0100
89,58.2400,58.3200,58.0000,58.2300,59.2200
90,58.1000,58.3200,57.9600,58.4800,58.9800
91,58.3100,58.5400,58.2300,58.4100,58.9800
92,58.1900,58.4100,58.0800,58.4900,59.1400
93,58.3400,58.4600,58.2100,58.4600,59.1300
94,58.4800,58.3900,58.3600,58.4500,59.2200
95,58.3800,58.4200,58.1400,58.2500,59.0100
96,58.2400,58.1300,58.1000,58.3300,59.0800
97,58.4000,58.3800,58.1800,58.4100,59.2800
98,58.5700,58.4900,58.2100,58.3400,59.1000
99,58.3700,58.3500,58.1700,58.5100,59.1800
100,58.4000,58.2200,58.1000,58.4400,59.2600
