epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,54.2400,49.0900,33.7600,47.2700,60.2900,57.7300,53.1000
2,57.7400,61.4500,47.5700,53.9600,63.8700,63.6500,56.1000
3,59.2900,61.1700,54.9300,56.8600,64.6700,64.7200,60.8600
4,60.8300,61.9300,58.6700,56.3800,64.7700,64.5000,55.7700
5,59.7800,63.7300,58.9500,56.7800,65.1000,67.2600,62.9600
6,64.3000,62.5600,59.9900,58.9400,67.9400,67.1400,63.4000
7,64.7300,65.1400,59.6200,62.0100,68.3800,67.6000,63.4600
8,65.7500,65.2700,64.8000,62.0600,66.8200,66.4400,66.8700
9,66.2800,66.4800,62.3000,64.9000,68.7700,66.2000,68.2400
10,63.0000,66.9100,65.0100,62.5200,67.2900,66.5300,67.2800
11,66.8300,66.7400,66.0700,64.2200,69.1100,69.2900,67.8500
12,67.3500,67.1900,66.2500,65.0900,67.9500,68.8400,67.8100
13,66.5000,66.3400,66.7200,65.4200,69.1700,68.1600,66.8100
14,68.3100,68.2300,64.3500,62.8800,69.3500,68.9300,66.8400
15,67.2400,67.0600,67.4800,65.7000,69.8100,68.9800,68.9400
16,67.8300,67.8400,67.2100,63.7700,68.9200,67.7100,69.3000
17,68.9600,68.6100,66.8600,66.1900,69.0200,68.9500,68.0800
18,67.9000,67.3700,66.7700,65.4800,68.6200,70.4300,70.0400
19,67.9700,68.1900,67.6500,64.9300,68.9100,68.8700,70.1800
20,67.9300,67.6400,67.0200,64.6700,68.9200,69.1500,69.7800
21,67.6100,66.2500,67.6400,66.1000,68.9900,68.2700,68.4700
22,68.6300,66.8700,67.0600,66.2700,68.9800,69.2200,68.8500
23,68.7900,67.4300,66.6500,64.2600,70.9100,69.3900,67.2500
24,67.5200,66.9700,66.6700,65.8600,69.1500,70.2200,69.0700
25,68.6800,68.2800,68.3000,65.1000,68.7400,69.6100,69.3900
26,67.9100,68.8200,67.4100,65.1600,70.1500,68.6800,69.1600
27,68.4500,68.6700,67.5800,65.8000,70.9700,70.0700,68.0100
28,68.3000,67.8100,68.5300,65.2100,69.7600,70.0400,69.7600
29,68.6400,67.8800,67.5000,63.6800,70.5100,67.7600,68.0100
30,67.8400,67.8700,67.1000,65.4900,69.6600,69.6300,69.6400
31,67.3900,66.4700,68.0200,66.5700,70.3400,70.0500,65.9200
32,68.1700,68.1100,67.3000,65.9200,70.1800,70.6100,70.3000
33,68.8500,65.8900,67.5000,65.3700,68.4000,69.6900,69.0900
34,66.1400,67.8300,68.5500,65.8600,68.6500,68.6300,69.0100
35,68.6200,68.5400,68.0300,66.3400,69.3300,70.4500,69.3100
