epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,44.2000,46.6100,47.1500,47.8900,36.4700
2,45.9100,47.9700,46.6600,48.2000,37.6400
3,47.6400,48.6400,47.9600,47.6800,42.2100
4,47.7100,48.5600,49.1100,47.4800,41.0500
5,48.3300,48.3500,47.9300,49.1100,44.3100
6,48.1300,48.1700,49.1200,48.6000,43.5900
7,48.2300,48.3000,49.1400,50.0000,43.5200
8,45.5500,47.6500,48.5300,49.5400,45.0600
9,47.8100,49.7700,50.3400,49.1600,45.7100
10,47.9700,49.2500,48.5200,48.7300,46.2200
11,48.6900,47.6400,48.7400,50.3000,45.7000
12,49.6000,49.2800,50.1800,49.8600,44.0100
13,48.3200,48.2600,50.0500,50.7100,46.3200
14,49.8500,50.7000,50.1700,50.7600,47.5500
15,48.4900,48.6500,49.0100,49.5700,45.0900
16,48.6800,49.6900,50.1400,50.1900,45.4800
17,48.3600,49.2700,50.3900,50.6600,45.6500
18,48.1600,51.1300,50.1200,48.8600,46.3200
19,49.5500,51.1000,49.3800,50.0400,46.9000
20,48.8400,50.6800,49.8300,50.6400,47.4100
21,50.3800,49.5600,51.0000,51.2100,47.1100
22,49.6800,49.8700,49.8400,48.3900,47.4200
23,50.9500,49.7100,50.6100,50.6000,47.6900
24,49.2800,49.5900,50.8200,51.6800,47.2000
25,49.3300,48.9600,50.8700,50.7600,45.5200
26,48.9900,50.3000,50.8100,49.3500,47.2300
27,48.6900,50.3500,50.7600,49.9100,48.1200
28,50.5100,49.3600,48.8500,51.4700,48.0400
29,51.0800,49.7100,50.2200,52.0900,48.7100
30,49.7500,50.0600,50.0300,51.7800,45.5200
31,50.1700,50.6000,52.4400,51.4000,48.8500
32,49.0200,48.6800,50.8500,50.9800,48.1200
33,50.6000,49.2800,51.3000,50.8600,47.6800
34,51.0000,50.8000,51.7600,50.9900,48.2500
35,50.5200,49.7100,49.6300,51.3100,47.3000
36,50.4300,50.0500,51.8600,49.9500,48.8400
37,51.5000,50.6900,50.6700,51.4900,48.8400
38,50.8300,50.9400,51.3600,50.7900,47.0800
39,50.0300,51.2100,52.2300,51.6100,49.1200
40,52.3600,50.5600,51.0500,51.7500,48.5400
41,50.4700,51.7400,50.7800,51.9500,48.3300
42,51.7100,50.7300,51.3500,52.6700,48.7300
43,52.0000,51.0800,51.3000,51.6400,49.2000
44,50.9100,50.5600,51.4000,52.1700,47.7300
45,51.1800,51.5800,52.2000,51.4400,49.2800
46,50.9100,51.5300,51.9900,50.2700,46.9600
47,49.5500,49.0300,52.0200,51.6000,48.4700
48,49.8300,51.5900,52.4800,51.3800,49.0600
49,51.1700,49.1600,51.9400,52.5500,49.6200
50,51.5600,50.5500,51.0600,52.3900,50.3300
51,51.0000,50.7500,51.8700,52.3400,49.0800
52,50.9500,51.3300,52.0800,51.8900,50.3700
53,51.0800,52.2100,51.5000,51.0400,48.3100
54,49.0600,49.3000,51.5700,51.1700,49.3300
55,52.7200,50.1600,52.8500,52.5500,50.5500
56,50.5400,49.3600,51.3700,51.2100,47.9700
57,49.5300,51.1900,50.3900,51.9000,49.0700
58,50.7700,48.8700,51.1900,53.1500,49.7500
59,51.7800,51.0200,52.0400,52.2800,50.5700
60,51.2800,51.8400,51.5800,52.1100,49.6900
61,56.3600,56.5200,56.3500,56.9700,54.5400
62,56.4400,56.1500,56.6900,57.3700,54.8600
63,56.3400,56.7700,56.7200,57.4300,55.3800
64,56.8300,56.3600,56.9600,57.3200,55.6400
65,56.8300,56.5700,57.0500,57.0400,55.5600
66,56.9800,56.7900,57.1300,57.6500,55.7400
67,56.9400,56.9100,57.2800,57.5600,55.6200
68,56.9500,56.7900,57.3100,57.5200,55.5400
69,57.0600,56.8200,57.6000,57.5400,55.7700
70,57.4200,56.8900,57.5000,57.0300,55.6900
71,56.9900,56.7200,57.1200,57.3800,55.5800
72,56.4100,56.7600,57.1800,57.7000,55.7800
73,56.9200,56.6500,57.2500,57.4300,55.5500
74,57.0800,57.1400,57.0200,57.8200,55.5700
75,56.7500,56.8400,57.3100,57.7200,55.8500
76,57.0800,57.0800,57.2700,57.5900,56.2700
77,57.5100,57.3100,57.6900,57.7500,55.6200
78,56.7800,56.8400,57.5500,58.0400,55.8900
79,56.9600,57.1100,57.2100,57.6300,55.7900
80,56.9100,56.8400,57.4600,57.5600,55.7600
81,57.4100,57.2700,57.7900,58.3400,56.2900
82,57.4300,57.4800,57.6400,58.3700,56.2300
83,57.6500,57.6700,57.7700,58.2900,56.3200
84,57.6700,57.5700,57.6900,58.0200,56.2500
85,57.6100,57.6000,57.7500,58.3000,56.2000
86,57.6400,57.7300,57.9200,58.3400,56.3700
87,57.8900,57.8600,57.6000,58.3800,56.3000
88,57.6800,57.7900,57.7800,58.3500,56.3500
89,57.8200,57.6600,57.8200,58.5000,56.3300
90,57.8100,57.6500,57.7300,58.4100,56.4800
91,57.7700,57.7300,57.8900,58.3200,56.2800
92,57.7400,57.7700,57.8400,58.4200,56.3400
93,57.7800,57.7000,57.8800,58.2900,56.3600
94,57.6600,57.7800,57.8100,58.3900,56.3100
95,57.6600,57.5500,57.8100,58.2400,56.3300
96,57.5900,57.8700,57.7900,58.3400,56.3800
97,57.6100,57.8400,57.8600,58.4100,56.2200
98,57.7500,57.7100,57.7900,58.2200,56.3100
99,57.5800,57.7300,57.9500,58.1800,56.2200
100,57.5200,57.7900,57.9500,58.1100,56.4200
