pct,top1,thr,lat
88,70.600,1365.43,5.319
73,74.600,658.47,9.701
58,75.100,414.94,12.668
43,75.050,343.46,16.826
28,75.950,241.46,18.756
19,75.300,209.47,25.373
7,76.450,227.65,21.936
