n,par_fps,par_lat,pipe_fps,pipe_lat
1,9.803,101.973,nan,nan
2,19.544,102.278,22.582,85.411
3,29.380,101.971,38.990,68.379
4,39.071,102.200,69.743,50.458
5,48.894,102.003,116.817,33.013
6,58.577,102.114,143.305,27.273
7,68.297,102.141,141.373,30.023
8,77.883,102.301,141.937,31.995
