n,par_fps,par_lat,pipe_fps,pipe_lat
1,11.6348,85.9182,11.6348,85.9182
2,23.2794,85.8109,22.6080,74.2248
3,34.8244,85.9497,37.0002,57.2456
4,46.3829,85.9529,52.7762,43.8597
5,57.8287,86.0823,74.4803,33.7500
6,69.2908,86.1059,95.3419,34.7455
7,80.7573,86.2261,118.8721,37.9988
8,92.1084,86.4015,122.9453,39.8472
