epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,57.8600,57.9400,57.0900,58.5400,58.2400,41.7100
2,57.5700,58.3500,59.2200,58.5500,57.7900,46.1800
3,59.1500,59.2400,59.0300,59.2200,59.4000,46.4600
4,59.3300,58.7300,58.9500,58.9700,59.1700,48.9900
5,59.1900,59.0700,58.5100,58.6000,58.5100,49.6600
6,58.1700,59.1100,58.9800,58.8900,58.9900,48.2000
7,59.1900,58.5200,57.6400,59.0800,58.1900,51.3700
8,58.9600,60.3100,60.1800,59.6300,58.2700,51.4800
9,59.1600,58.5800,58.5700,58.8900,58.7100,51.4600
10,57.4300,58.7300,57.9700,58.3400,58.8300,53.9500
11,58.6200,58.8100,58.7100,59.6100,59.9400,53.5400
12,59.4600,58.5700,59.5600,58.9600,60.4200,53.1100
13,58.4300,58.7100,58.4400,58.9900,59.8900,50.8800
14,60.3100,59.6700,60.3900,59.1100,59.5200,52.8300
15,58.8900,60.0700,59.3800,60.2700,59.7400,54.5500
16,60.0300,58.7800,59.1100,59.8500,59.6700,53.4300
17,59.1800,58.1900,58.2600,58.8800,59.6300,51.9700
18,59.4400,60.1000,59.7800,58.8400,59.4000,50.5800
19,59.6700,59.4500,59.7600,59.3800,59.6700,52.1700
20,59.5000,58.8900,59.0100,58.3800,58.1100,52.7400
21,59.1700,60.1500,58.0900,59.2300,59.7300,51.5000
22,59.2400,58.7400,60.0700,59.5700,58.9100,54.1500
23,59.2300,59.2800,57.7200,59.1300,59.4500,55.0400
24,59.7800,58.8800,59.5300,59.3600,58.9400,52.3300
25,60.9200,60.6400,60.7900,61.1700,58.2900,55.0000
26,59.6300,59.1900,60.0600,59.2400,58.2800,53.4500
27,59.3100,59.3100,60.0800,60.3700,59.5100,53.9500
28,59.4800,59.5000,59.8500,59.1400,61.1300,54.5700
29,58.9900,60.3500,58.8000,59.7900,60.3300,53.2500
30,58.8900,59.6700,59.2600,59.2100,58.9300,55.2300
31,59.4200,60.0700,58.7500,58.6100,59.4300,54.1400
32,58.8800,60.8900,59.4000,61.2200,59.8000,52.0200
33,59.8800,60.2500,59.8700,60.3600,60.0400,54.9600
34,60.3000,59.3500,59.2100,60.2900,60.4000,56.1500
