x,y
142.6230,80.600
142.4323,80.600
142.4051,80.600
142.4567,80.600
128.7419,80.600
142.5393,80.600
142.4821,80.600
142.3743,80.600
142.4732,80.600
128.2725,80.600
142.6278,80.600
142.5562,80.600
128.7302,80.600
142.4920,80.600
96.0241,80.600
142.5503,80.600
142.5596,80.600
110.6055,80.600
142.7049,80.600
128.5544,80.600
143.1379,80.600
113.4849,78.860
113.3740,78.860
113.2139,78.860
113.2115,78.860
99.7223,78.860
113.2452,78.860
113.2403,78.860
113.2008,78.860
113.2695,78.860
99.3064,78.860
113.3749,78.860
113.3779,78.860
99.5896,78.860
113.3380,78.860
68.8368,78.860
113.4242,78.860
113.4463,78.860
84.7997,78.860
113.7011,78.860
99.7072,78.860
113.8259,78.860
44.8612,78.860
99.0071,79.200
98.6701,79.200
98.6918,79.200
98.6679,79.200
86.9243,79.200
98.8153,79.200
98.7494,79.200
98.6931,79.200
98.8084,79.200
86.5980,79.200
98.8251,79.200
98.9125,79.200
87.0003,79.200
98.8001,79.200
56.1743,79.200
98.9805,79.200
98.9665,79.200
68.8654,79.200
99.0490,79.200
86.8494,79.200
99.2174,79.200
86.3253,78.540
86.1384,78.540
86.0740,78.540
86.1102,78.540
74.6264,78.540
86.2015,78.540
86.1577,78.540
86.0759,78.540
86.0906,78.540
74.2746,78.540
86.2578,78.540
86.2321,78.540
74.5672,78.540
86.2758,78.540
44.5743,78.540
86.3725,78.540
86.3836,78.540
57.2772,78.540
86.5330,78.540
74.5353,78.540
86.5304,78.540
63.9726,77.220
63.9222,77.220
63.8919,77.220
63.9034,77.220
50.2011,77.220
64.0444,77.220
64.0037,77.220
63.9553,77.220
64.0185,77.220
49.9788,77.220
64.1180,77.220
64.0834,77.220
50.0040,77.220
64.1611,77.220
64.2250,77.220
64.2296,77.220
32.6034,77.220
64.1449,77.220
50.1111,77.220
64.1382,77.220
31.8340,77.220
46.3786,76.700
46.2962,76.700
46.2647,76.700
46.3124,76.700
33.0925,76.700
46.3360,76.700
46.3738,76.700
46.3342,76.700
46.3772,76.700
32.8286,76.700
46.4194,76.700
46.4367,76.700
32.9441,76.700
46.5106,76.700
46.3834,76.700
46.4053,76.700
22.5106,76.700
46.3404,76.700
32.8283,76.700
46.4074,76.700
35.0476,76.700
32.8127,76.200
32.8009,76.200
32.7264,76.200
32.7283,76.200
23.7864,76.200
32.7160,76.200
32.8224,76.200
32.7539,76.200
32.7759,76.200
23.5543,76.200
32.7320,76.200
32.7316,76.200
23.5572,76.200
32.7938,76.200
24.1813,76.200
32.7749,76.200
32.7248,76.200
26.8830,76.200
32.7562,76.200
27.6097,76.200
32.8215,76.200
36.0111,76.200
19.2990,74.400
19.3391,74.400
19.3336,74.400
19.3182,74.400
13.6355,74.400
19.3418,74.400
19.3243,74.400
19.2873,74.400
19.2771,74.400
16.7271,74.400
19.3367,74.400
19.3235,74.400
17.1712,74.400
19.2761,74.400
17.4256,74.400
19.8651,74.400
19.8457,74.400
19.8747,74.400
25.6376,74.400
25.6408,74.400
25.9712,74.400
29.2233,74.400
8.5765,70.180
8.6396,70.180
8.6982,70.180
8.7717,70.180
9.1590,70.180
9.1440,70.180
9.1671,70.180
9.3427,70.180
9.2973,70.180
11.1479,70.180
11.1653,70.180
11.3496,70.180
11.2625,70.180
11.2719,70.180
11.6419,70.180
11.7231,70.180
11.8460,70.180
13.5292,70.180
13.5938,70.180
18.1581,70.180
18.6465,70.180
50.7224,76.400
50.8254,76.400
50.6981,76.400
50.7195,76.400
37.7265,76.400
50.9009,76.400
50.9696,76.400
50.8057,76.400
50.8751,76.400
37.4706,76.400
50.8942,76.400
50.9270,76.400
37.5736,76.400
50.9639,76.400
22.4699,76.400
50.9358,76.400
50.9029,76.400
23.5765,76.400
50.9599,76.400
37.3662,76.400
50.8562,76.400
33.6810,76.400
18.9189,75.360
18.8909,75.360
18.8571,75.360
18.7898,75.360
18.8563,75.360
18.8541,75.360
18.7986,75.360
18.7861,75.360
13.4643,75.360
18.7907,75.360
18.7880,75.360
15.8226,75.360
18.7959,75.360
15.7122,75.360
18.7380,75.360
18.7431,75.360
18.5612,75.360
23.7390,75.360
24.0934,75.360
24.4566,75.360
27.8478,75.360
