lost,thr_speedup,lat_speedup
0.000,1.0000,1.0000
1.650,0.9848,1.0567
1.900,1.0518,1.2644
2.050,1.6395,1.6568
2.100,2.2113,2.0669
2.350,1.1366,1.2955
2.900,2.3828,2.2482
2.950,2.0629,2.0473
5.350,4.1996,3.1268
8.950,8.5385,5.4250
10.500,7.9833,5.0417
