n,par_fps,par_lat,pipe_fps,pipe_lat
1,18.6802,53.4990,18.6802,53.4990
2,37.3429,53.4592,45.2082,35.6600
3,55.5142,53.7995,72.6005,21.8790
4,74.0238,53.7123,111.3606,16.5345
5,92.4266,53.7201,143.4865,19.0457
6,110.5265,53.8301,157.6033,20.2106
7,128.7835,53.9082,157.2129,23.2817
8,146.5317,54.1256,158.4378,24.4779
