epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,17.8900,25.5400,27.3400,21.2700,46.7100,9.4400
2,26.5300,33.8600,36.0800,28.5900,51.1000,19.3700
3,25.8000,40.5500,38.6300,36.7300,53.8500,17.9700
4,35.0500,38.5700,41.4700,39.4100,52.8900,21.6700
5,34.5600,39.9600,43.8200,40.3600,51.8800,21.8200
6,38.0200,40.4600,42.7100,44.0400,53.4900,24.5100
7,35.9400,42.6000,46.1100,39.8100,52.5000,28.8400
8,39.9200,40.4700,45.3400,45.3900,51.7700,26.7800
9,39.7800,41.6000,45.8800,40.5400,54.9100,27.7100
10,37.9100,43.5000,47.0300,42.1300,54.3200,31.2400
11,36.4500,45.7400,47.2000,46.5100,53.6100,28.9600
12,43.7700,46.6500,49.9200,47.1600,54.4300,27.9900
13,42.9200,44.4400,46.6300,40.0700,54.1800,30.6900
14,42.0100,44.7100,50.3400,47.3800,55.5500,28.8900
15,42.7400,46.1100,49.6100,47.0500,55.7400,31.4300
16,43.5400,44.8600,49.0400,45.7300,55.6100,31.7100
17,40.1900,48.0600,51.8800,42.9100,56.2500,32.8100
18,44.0800,47.9800,50.6900,46.5500,55.1400,33.6200
19,44.9000,48.6900,51.4400,45.8800,55.4500,34.7400
20,40.1000,48.0100,49.9000,48.1600,54.6700,29.3000
21,46.4400,48.8400,50.9400,48.7000,54.4800,32.0900
22,44.9100,45.0200,51.8700,46.9300,55.7500,33.3700
23,41.4900,44.3900,52.5400,49.3800,56.1600,35.2600
24,44.6300,48.8000,51.3300,48.1900,56.3500,35.5900
25,44.9200,45.6300,52.9200,48.5000,55.4100,33.0000
26,45.6800,47.8000,52.8700,48.4600,55.7900,34.1300
27,45.7400,46.6400,53.6100,46.1500,55.7200,33.3300
28,44.1800,50.5400,51.7200,50.4100,55.6000,30.1900
29,42.2100,48.4200,51.5800,49.7700,57.2000,34.7200
30,42.5700,48.6000,52.1300,49.5200,57.2200,35.6100
31,47.7500,45.7100,52.7400,50.7400,55.7000,38.2600
32,46.3900,47.7200,52.1500,48.6300,56.7000,37.4600
33,46.6300,49.8500,53.0400,50.9600,57.4300,34.4300
34,45.1800,51.1000,52.8100,49.4000,56.8500,35.5900
35,45.1000,47.0000,49.0700,48.9700,56.8300,35.1200
36,48.1900,50.8000,53.3700,50.8300,55.2700,38.5300
37,45.6400,43.0700,53.6200,52.0200,56.4900,36.4800
38,39.0700,50.5500,52.7300,51.0100,57.5500,35.7000
39,44.0400,49.5600,50.9600,51.3600,56.9600,36.9500
40,46.9800,50.2400,54.8600,51.3500,57.4000,37.8900
41,46.8800,48.9400,53.3200,50.5200,56.5700,37.1700
42,45.9000,49.2000,52.2800,49.7900,56.2200,34.0700
43,48.4200,51.0500,52.6100,51.7700,57.0200,38.5600
44,43.6000,49.4100,50.9700,50.8600,56.8900,35.4200
45,47.0700,50.4200,55.1200,51.7100,58.0800,39.1300
46,40.8700,48.8500,55.0200,52.7100,56.5800,38.2200
47,44.2200,49.6400,54.0100,48.6800,55.6500,39.5200
48,47.2200,50.7800,54.5500,46.0700,55.2700,33.1400
49,46.4200,48.0400,53.3300,53.4200,57.7000,37.4500
50,44.4200,49.9500,52.2000,52.9100,56.5800,38.4400
51,47.9200,51.8700,55.1600,50.2900,55.5400,38.8200
52,44.0200,47.0300,53.6700,52.7800,56.9800,38.8800
53,45.4000,50.4000,55.6300,52.2900,57.7500,31.1800
54,48.7300,46.4300,54.8100,50.0200,57.6800,35.4800
55,44.7100,48.2300,55.3600,51.6100,55.8500,37.4400
56,45.0500,49.7500,54.5200,52.1400,56.9600,36.8200
57,46.7900,49.4300,54.5400,52.3200,56.1500,40.0800
58,47.6800,47.6400,54.6900,52.5200,55.7800,37.9200
59,43.8500,51.1300,54.0100,51.9100,57.9600,38.5700
60,45.8300,51.7700,55.9100,50.6100,57.2300,38.5000
61,53.7200,57.3200,61.0500,58.2800,62.6600,44.8800
62,54.6600,57.8100,61.3500,58.3500,63.3200,45.7400
63,54.7500,57.4200,61.2600,58.3100,63.6600,45.5900
64,55.2100,57.7900,61.3100,58.7400,63.4100,45.1000
65,55.1600,57.9500,61.7400,58.7000,63.5500,45.4800
66,55.1400,57.8300,61.8100,58.9800,63.9500,45.2400
67,55.1800,58.0100,61.8600,59.0100,63.9300,45.9000
68,54.9600,58.0100,61.8500,58.8700,63.8600,46.1700
69,54.9600,57.9500,61.8700,58.4700,63.9300,45.8800
70,55.0300,58.2200,61.6400,58.7900,63.8500,45.3600
71,55.2300,57.6700,61.5000,58.7700,63.8900,45.3500
72,55.1800,58.0500,61.7300,58.7000,63.6600,45.9000
73,55.3100,57.9000,61.8000,59.0200,64.1300,46.0200
74,55.0100,57.7600,61.8400,59.1500,64.0400,45.9900
75,55.3200,57.9600,61.7700,58.9500,63.8500,45.6600
76,55.2100,57.9500,61.6400,58.8500,64.1800,45.8500
77,55.0000,57.9400,61.7400,58.6300,63.8800,45.5400
78,54.9200,58.3400,62.1200,58.8500,63.9100,45.5100
79,55.3200,57.9500,61.9300,58.9900,63.6500,45.9400
80,55.3800,58.1700,61.7900,59.1800,63.8800,45.5700
81,55.5300,58.4200,62.1900,59.6600,64.2800,46.5400
82,55.4000,58.3700,62.3700,59.5400,64.3900,46.0600
83,55.6000,58.4500,62.1300,59.2900,64.3500,46.5300
84,55.6500,58.6100,61.9800,59.5300,64.2200,46.3500
85,55.5900,58.6100,62.1500,59.5000,64.3100,46.4400
86,55.7600,58.7500,62.2200,59.5500,64.3100,46.4700
87,55.8200,58.6400,62.2300,59.6000,64.2900,46.3800
88,55.5700,58.6800,62.4100,59.5100,64.3300,46.4700
89,55.6300,58.6700,62.3000,59.4200,64.2800,46.6600
90,55.6400,58.5200,62.4400,59.6100,64.2300,46.4600
91,55.6500,58.6600,62.1500,59.5800,64.4000,46.6100
