n,par_fps,par_lat,pipe_fps,pipe_lat
1,53.3021,18.7287,53.3021,18.7287
2,106.6826,18.6464,113.4102,12.0824
3,156.0487,18.9655,127.7507,13.4277
4,208.9401,18.8400,137.3844,15.8733
5,259.6600,18.8688,148.0742,18.6163
6,308.5451,18.9929,132.0929,23.8783
7,359.0334,19.0469,134.0998,24.1913
8,406.3114,19.2417,127.2031,27.7502
