epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,15.8700,8.9700,12.0100,23.3400,48.5300,46.5900,36.0400
2,23.4400,23.1700,24.1900,33.1600,55.7200,56.0800,47.6800
3,36.0600,35.4500,36.8900,44.9200,59.5400,58.5000,53.1600
4,44.9600,39.9600,45.2300,52.2800,62.6600,59.9300,56.0800
5,44.3800,44.3300,49.2800,54.9500,62.0800,62.7500,58.6100
6,50.7700,50.6300,52.6000,58.3100,64.3800,64.1700,60.9200
7,50.8600,51.7400,53.5800,60.7200,65.2700,62.7000,63.1300
8,50.6200,54.1500,56.0300,60.4900,67.4800,66.3700,63.3100
9,54.7200,51.2600,57.9200,61.1600,66.0200,66.3100,65.6900
10,57.2700,56.0600,59.9000,62.3000,67.8400,67.4600,65.7400
11,54.5600,57.3600,59.3500,65.6300,66.9000,69.1500,64.7300
12,56.1800,57.7900,59.6300,65.7000,68.8300,68.9600,67.4500
13,55.6200,59.6700,59.2800,65.4000,69.8800,68.6500,67.2900
14,59.3700,59.9400,60.7800,65.3100,69.9000,69.3200,67.4800
15,59.6300,58.3900,62.0100,66.2700,69.7400,70.3100,66.6000
16,59.3600,61.6600,62.1100,67.8300,69.6900,70.6200,68.1300
17,59.2500,61.1200,63.9900,67.0400,70.1300,69.7300,68.6300
18,57.9800,62.6600,63.3400,68.3400,70.5000,70.1200,67.3800
19,59.8200,62.8000,64.9100,67.0400,71.6800,69.6000,67.5700
20,59.6300,62.8900,64.4400,68.2100,71.9900,70.0500,69.4900
21,59.4400,62.9100,65.6200,68.3700,71.1000,70.8400,69.8500
22,59.9700,62.2700,64.7600,68.2400,71.2400,71.5900,69.1700
23,57.3800,63.3200,64.9800,67.0500,71.1000,70.0300,69.6000
24,59.9200,63.9400,65.3700,68.5500,71.5000,71.0500,68.7700
25,60.4000,64.3800,66.8500,68.7500,70.1700,71.2900,70.0100
26,61.1400,63.6100,66.5600,68.8100,71.8700,70.5500,70.0400
27,61.6000,64.9800,66.4100,68.5300,71.1000,71.6100,69.7200
28,63.0600,65.6800,67.3200,69.2400,71.8200,72.5800,70.3300
29,63.4900,64.8300,67.5400,69.3700,70.1200,71.5500,69.0600
30,61.9000,65.8100,67.3300,68.7700,72.5100,71.2300,70.1800
31,62.0300,65.7600,66.3200,68.9900,71.3800,70.6500,69.2100
32,61.8100,64.0000,67.1500,68.2500,72.0300,72.5200,70.4400
33,61.8800,63.9700,66.9800,69.5400,71.4100,70.9100,71.0600
34,63.6000,65.9300,67.1100,69.8900,71.8800,72.2600,69.8900
35,61.8600,65.2800,67.8400,69.8200,71.7800,71.6100,70.0400
36,63.6500,65.0800,67.4500,69.6800,72.5100,72.3100,70.3400
37,63.7000,66.5100,67.2600,69.9800,72.4300,73.0500,70.1700
38,61.3500,65.9700,67.7400,70.3500,71.5400,72.7600,71.4100
39,62.1800,66.0300,67.7700,70.2700,71.9600,71.6900,69.9900
40,62.6500,66.7100,67.6900,69.7000,72.7800,71.9600,69.0000
41,63.5300,65.9300,67.6200,69.9100,73.1000,72.6700,70.7200
42,62.7900,67.0300,68.2700,70.8600,73.2500,71.4700,70.1900
43,62.8200,66.0400,67.9400,70.2700,72.3000,71.8000,71.3300
44,60.4000,65.2900,68.5400,69.7100,72.4900,72.0900,70.7700
45,63.4700,66.5200,68.4600,69.6700,71.9000,71.3600,70.6700
46,62.5200,66.4900,68.1400,71.1100,72.0200,71.6300,69.8600
47,61.7800,67.1300,68.3700,70.0300,72.3300,71.8900,69.7400
48,62.2800,65.8900,67.6300,68.7100,71.9800,72.7500,70.3100
49,64.1000,66.2000,68.0200,69.6600,72.7600,73.0600,71.6300
50,62.1700,66.7100,67.4900,70.5500,72.6200,71.3800,70.9700
51,64.3600,67.3100,68.9100,70.9600,72.6000,73.2900,70.8800
52,63.0600,67.1000,69.1200,69.4200,72.1400,72.1200,70.7100
53,63.5900,66.7200,68.1800,69.8000,72.5400,72.7000,70.9100
54,63.2700,64.2300,68.2000,69.9700,71.8100,72.8000,70.7400
55,62.6100,66.1300,69.6700,70.3300,73.1800,72.7500,69.8400
56,62.4300,66.5100,68.4400,69.8000,73.6100,72.1900,71.0300
57,63.4100,67.2200,69.2000,70.6000,72.1700,72.3400,71.6600
58,63.4000,66.1800,68.9200,69.7400,72.9700,71.7800,70.9800
59,63.5800,65.7600,68.0100,69.7000,73.5900,72.3600,70.3700
60,62.7500,67.1400,68.3000,70.1900,72.7500,72.6500,71.3700
61,67.9400,71.9200,72.9900,75.0100,77.5800,77.0800,75.4900
62,68.2800,72.1600,73.1700,75.4900,77.8100,77.1900,76.0100
63,68.2800,72.0700,73.1400,75.4400,78.0500,77.2800,75.8000
64,68.4400,72.1000,73.2500,75.5100,78.2600,77.5500,75.9100
65,68.3100,72.1100,73.4900,75.5300,78.0900,77.5100,75.9700
66,68.6400,72.2000,73.3300,75.5800,78.1000,77.5400,76.0000
67,68.3200,72.2800,73.1700,75.5400,78.2900,77.4600,75.9700
68,68.5500,72.3700,73.4300,75.5100,78.4100,77.4000,75.9900
69,68.5300,72.4000,73.4700,75.6400,78.3700,77.1000,76.0500
70,68.4000,72.3800,73.4600,75.5700,78.4900,77.4800,76.0600
71,68.5000,72.4500,73.6400,75.7500,78.1900,77.6700,75.8000
72,68.3600,72.2900,73.5700,75.9000,78.3300,77.4600,75.8900
73,68.4400,72.4200,73.6900,75.9300,78.4100,77.3300,76.2100
