n,par_fps,par_lat,pipe_fps,pipe_lat
1,7.0253,142.3093,7.0253,142.3093
2,14.0495,142.2510,14.3806,128.3234
3,21.0239,142.4747,22.8352,110.5185
4,28.0401,142.3694,32.6430,95.2705
5,35.0168,142.4231,43.7774,77.2770
6,41.9486,142.5787,58.3024,62.9992
7,48.9002,142.7105,69.4862,44.1097
8,55.7959,142.9136,92.8415,46.5990
