n,par_fps,par_lat,pipe_fps,pipe_lat
1,15.6884,63.7085,15.6884,63.7085
2,31.3816,63.6254,33.5004,49.8383
3,46.9437,63.7156,58.8198,32.6055
4,62.4876,63.7230,82.3258,26.0399
5,77.8580,63.7723,104.7242,23.5836
6,93.1210,63.9374,118.4504,27.2193
7,108.5567,64.0184,123.1173,31.7332
8,123.6753,64.2183,134.1538,31.8747
