n,par_fps,par_lat,pipe_fps,pipe_lat
1,63.8804,15.6219,63.8804,15.6219
2,127.0883,15.6512,252.7914,5.4225
3,189.7930,15.6694,270.4378,7.3402
4,250.8321,15.7417,301.8378,9.6868
5,312.6301,15.7386,314.3338,9.7865
6,371.4064,15.8320,339.7313,12.0924
7,431.4965,15.8686,282.3710,13.9753
8,486.3383,16.0425,360.7278,15.3570
