pct,top1,lost_per10
9.776,79.784,0.3416
26.372,79.296,0.3117
38.019,79.214,0.2378
47.975,79.108,0.2105
58.631,78.528,0.2712
70.444,77.962,0.3066
79.840,76.332,0.4742
89.585,73.166,0.7765
