n,par_fps,par_lat,pipe_fps,pipe_lat
1,43.4706,22.9717,43.4706,22.9717
2,86.5958,23.0042,176.1537,7.5567
3,129.6942,22.9958,198.1593,9.2054
4,172.0460,23.0431,222.1827,11.2028
5,214.3436,23.0799,214.0959,13.1406
6,256.1932,23.1236,257.6599,13.9381
7,297.7291,23.1660,247.3013,15.3671
8,337.5267,23.3088,271.5899,16.6420
