n,par_fps,par_lat,pipe_fps,pipe_lat
1,11.6508,85.7983,11.6508,85.7983
2,23.2746,85.8396,26.1891,69.7734
3,34.8958,85.8342,47.1416,53.3515
4,46.4817,85.8497,81.9761,36.9869
5,58.0416,85.8950,142.1704,27.5098
6,69.5470,85.9566,142.5659,30.0864
7,81.0322,86.0239,201.4106,25.3084
8,92.4076,86.1602,140.6408,34.0870
