n,par_fps,par_lat,pipe_fps,pipe_lat
1,10.4527,95.6415,10.4527,95.6415
2,20.8978,95.6133,24.3026,79.0672
3,31.3131,95.6684,42.0446,61.9741
4,41.7014,95.7266,68.1598,44.0754
5,52.1149,95.6828,112.5257,29.6726
6,62.4655,95.7474,188.7197,21.9451
7,72.7794,95.8284,140.9558,30.0833
8,83.0636,95.9072,227.6469,24.9676
