n,par_fps,par_lat,pipe_fps,pipe_lat
1,201.9327,4.9201,201.9327,4.9201
2,398.3138,4.9235,199.0486,6.7386
3,536.7856,5.3211,213.7947,7.3218
4,724.3383,5.1431,240.2376,9.1828
5,887.7856,5.2040,248.4628,11.9718
6,1061.0503,5.2328,259.7275,11.4938
7,1217.2870,5.3478,226.7613,16.8227
8,1375.3279,5.4366,207.9053,17.9120
