epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,4.7200,5.6700,4.7800,28.7000,2.7000
2,17.9600,11.0900,10.6600,38.3200,3.8100
3,26.7400,18.6300,15.4000,40.7100,7.6600
4,28.4300,20.3300,17.9200,42.2100,9.2800
5,31.0500,25.4000,23.3900,42.3000,10.0700
6,31.9000,27.3900,25.5200,43.1500,12.7400
7,33.1000,29.1200,25.6700,44.0000,12.4500
8,33.7000,29.3200,26.0400,45.8100,15.2700
9,36.9100,32.1500,30.1100,43.7600,16.9100
10,36.2100,29.6500,30.0700,44.0600,19.2100
11,38.2700,32.5900,32.1800,45.8900,19.2600
12,36.6700,33.0600,31.8600,45.4000,19.3400
13,38.9500,31.7500,30.0000,45.7300,20.8200
14,37.9100,33.2300,33.1500,47.6700,22.7800
15,39.5100,32.5400,32.7200,44.8500,21.9500
16,39.5900,35.6300,33.9200,47.6400,22.6900
17,38.0200,36.4300,33.2300,46.3200,23.7500
18,40.8700,33.0400,34.8000,47.0500,22.7400
19,40.0600,36.1500,35.9100,47.9300,26.5900
20,40.5400,36.0800,34.5900,47.3100,25.3000
21,40.6500,38.1600,37.2500,46.3700,26.6400
22,41.1400,37.2100,37.0500,47.6400,27.3300
23,40.2000,35.5700,35.8600,47.4200,28.4100
24,42.2100,37.8700,37.1600,47.7900,27.6700
25,40.5200,37.8200,35.3000,47.8800,27.2000
26,38.4900,38.8600,37.8600,45.5300,28.7400
27,42.7900,37.8600,37.8900,48.4400,28.4900
28,40.2200,36.4200,36.5200,48.7300,29.1400
29,42.8500,39.4600,38.8000,47.4900,30.1600
30,42.8800,40.3000,38.7200,47.8100,30.4700
31,43.4700,37.7600,39.4500,48.3600,29.5300
32,43.3200,39.7200,39.4100,48.3100,30.6700
33,42.9700,38.9500,36.5700,46.6500,28.7700
34,42.8600,37.8700,37.8900,47.2000,30.5000
35,43.1400,39.7300,37.4100,48.7100,30.9600
36,43.5900,39.5000,38.6700,46.0900,31.4800
37,44.4900,39.2600,40.1800,49.0700,31.7000
38,44.2000,37.5500,37.8100,46.9400,30.6400
39,42.2700,39.2100,40.2700,49.4600,31.5700
40,43.8000,40.8700,37.7800,49.2800,30.9000
41,43.0000,37.9900,39.6200,48.4000,32.2100
42,42.3800,39.5000,40.3400,47.8300,32.9500
43,44.6900,40.2800,40.1200,48.4300,33.1900
44,44.2900,41.1400,38.3800,48.4000,32.8000
45,44.3500,40.8100,41.0500,48.6800,34.4300
46,43.0000,39.6500,39.1800,48.7900,35.4300
47,42.8300,39.6700,41.4200,48.4200,33.8900
48,43.5900,40.8600,39.9900,49.0500,34.0600
49,43.6000,41.9400,40.4300,49.9600,34.2000
50,43.0400,40.5700,40.9500,48.6600,34.2500
51,44.0800,41.7900,39.6200,48.4400,34.5100
52,43.5500,41.7800,40.1500,49.1500,33.4300
53,42.7200,40.7300,41.3800,49.5900,35.1100
54,43.2400,41.2100,37.2200,49.7700,34.0000
55,44.7300,41.7500,38.8100,50.1000,35.9900
56,44.2000,41.7900,38.8700,49.5100,36.2600
57,43.9400,40.2200,40.8800,49.0100,35.0500
58,44.2500,40.5900,40.8700,49.7700,34.3600
59,45.1500,41.3800,40.2500,47.3600,36.8500
60,43.8300,41.6000,40.5700,49.7000,34.7000
61,49.6200,47.1400,46.8900,55.1100,40.3600
62,50.1400,47.1700,47.1900,55.1300,40.9800
63,50.1800,47.2900,47.3600,55.5300,40.9400
64,50.1900,47.5300,47.4000,55.3100,40.9900
65,50.3100,47.4600,47.2600,56.1100,40.5700
66,50.2400,47.9200,47.6700,55.8800,41.1600
67,50.3700,48.0300,47.4400,55.8500,41.1400
68,50.1400,47.7100,47.4800,55.7100,41.3000
69,50.1000,47.9200,47.8900,55.7200,41.4500
70,50.7700,48.3700,47.9600,56.0300,41.2300
71,50.7500,48.0800,48.3700,56.3200,41.6100
72,50.4100,48.4200,48.4300,55.9700,41.1500
73,50.5800,48.4800,48.1200,56.4300,41.3300
74,50.8900,48.5300,47.6900,56.3700,41.1500
75,50.8700,47.9400,48.4700,56.5500,41.4800
76,50.7600,48.0900,48.0200,56.1800,41.7400
77,50.9800,47.8600,48.5800,55.9800,41.5800
78,50.8100,48.6700,48.4100,55.6900,41.7500
79,50.7900,48.3300,48.2900,56.1400,41.7400
80,51.0800,48.4700,48.3100,56.4200,41.8200
81,51.4700,48.8200,49.1800,56.9700,41.9000
82,51.6100,49.1300,49.0900,57.1500,42.1300
83,51.4900,48.8400,49.0100,56.9000,42.0000
84,51.6700,49.1600,49.1000,57.0100,42.0700
85,51.6000,48.9700,49.2500,56.9300,42.1400
86,51.6500,49.0100,48.9500,57.1100,42.1700
87,51.6200,48.9900,49.2400,57.0500,42.0100
88,51.5900,49.1800,49.3600,57.0900,42.0900
89,51.7500,49.2600,49.2000,56.9600,42.1400
90,51.5600,49.1600,49.1700,57.0400,42.2400
91,51.7100,49.1200,49.2000,57.1400,42.2000
92,51.8600,48.9000,49.2400,57.2100,42.2400
93,51.7800,49.1500,49.2000,57.1300,42.2400
94,51.6200,49.1400,49.3000,56.7400,42.1700
95,51.7200,49.1100,49.2400,57.0000,41.9500
96,51.3500,48.9500,49.3500,57.0000,42.3000
97,51.6000,48.8500,49.0900,57.0800,42.2000
98,51.7100,48.9000,49.2900,57.0500,42.2200
99,51.6800,49.1300,49.2300,57.0200,42.2000
100,51.7600,49.0900,49.2300,56.8200,42.1100
