epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,70.9700,70.8500,72.3900,71.1300,71.2900,69.6100,69.9400
2,71.8500,70.8100,70.3100,71.5100,70.7600,71.2800,68.5100
3,70.6200,72.0300,71.5700,71.0700,71.6900,71.2600,71.0800
4,71.5300,71.9300,71.8000,71.5000,71.8500,70.1900,71.1900
5,71.9000,71.6400,71.2400,71.2600,70.6000,71.6100,69.9000
6,71.4000,70.0400,70.5500,71.5300,71.8200,70.6000,69.6800
7,72.1900,72.1700,72.4800,71.7500,71.3600,72.3300,71.1900
8,70.0500,70.5900,71.5200,69.7300,72.1600,70.7100,70.8200
9,72.5300,71.4400,71.4500,72.3700,71.0300,71.5500,72.4000
10,72.1300,71.6400,73.2600,70.8200,72.7500,71.3400,71.5700
11,70.1400,70.8600,70.7100,70.5800,71.1300,71.2300,69.6100
12,71.4800,71.0900,72.2800,71.8700,71.7000,71.5700,71.5600
13,71.0300,72.0400,71.9100,70.9700,71.8400,71.8600,71.6500
14,71.1600,72.0900,72.0700,70.8200,70.4500,70.6000,72.1100
15,71.3600,71.8600,72.5100,70.9100,70.3200,71.8500,71.5200
16,71.1600,70.4900,71.2500,70.8000,71.7800,70.8900,71.9000
17,71.2800,70.8900,70.9400,71.0100,71.0500,71.3400,71.1300
18,72.2700,71.2900,71.9900,71.3200,71.1900,71.0000,71.7200
19,71.5900,70.2900,71.2100,71.2200,71.1900,71.1400,71.8600
20,71.1100,70.8200,71.2600,70.4500,71.5900,71.8400,71.0200
21,71.7900,70.9900,72.1700,70.6700,71.0700,70.4400,71.2800
22,71.3000,70.7200,70.8500,70.2200,71.6600,71.4200,71.1700
23,70.7300,71.1200,71.8500,71.8900,72.5500,70.5300,70.6200
24,70.0700,70.3600,71.4800,70.2800,72.0300,72.1000,71.0200
25,71.8300,71.3200,70.9800,71.8900,68.8400,71.4200,70.1600
26,70.8700,72.2900,71.6800,70.8600,70.9900,71.8500,71.6900
27,70.3600,70.2700,70.7100,70.4400,70.7900,71.6500,70.9400
28,70.8600,70.3800,71.7800,72.0500,70.8500,70.7900,71.5500
29,70.7300,70.0600,70.8100,70.7200,70.0900,71.2200,69.1500
30,70.2500,70.4800,71.5700,70.9900,70.7100,70.5200,70.5000
31,71.3200,71.8900,70.3500,71.2400,70.7400,71.6500,71.2800
32,71.1900,71.2000,70.6100,70.9800,69.5500,70.0000,71.5800
33,70.7000,71.7700,69.0500,70.9500,71.1700,68.9200,71.3500
34,70.5100,71.2300,70.1700,70.4200,69.9900,70.6700,68.8200
35,70.5700,71.7900,71.2400,71.7400,71.8400,72.1200,71.2900
36,72.9800,70.7600,71.7900,71.9400,70.5200,71.0800,70.5000
37,71.8000,70.6800,72.6400,71.2000,71.2300,70.7200,71.4800
38,70.7700,70.4800,71.6300,72.1400,71.8200,72.6500,70.3200
39,70.6300,71.7100,71.2300,71.4500,71.0100,70.8200,70.8100
40,71.2500,72.1000,70.8600,70.5700,70.5400,71.1700,71.7600
41,70.4200,71.2600,71.4700,70.1700,70.0400,70.7800,72.1400
42,71.1600,70.7000,70.9900,70.8700,70.7400,71.1600,71.1400
43,70.5600,70.6800,71.6500,71.3400,70.6500,71.0300,71.1300
44,70.0100,70.9600,70.6700,69.7300,70.2800,70.9400,71.5200
45,70.0800,70.6900,71.0700,71.4000,69.3500,71.2200,71.1400
46,72.4000,71.1700,71.3900,70.8700,69.8800,69.9400,70.5500
47,71.5700,70.3100,70.6300,70.9100,69.6900,71.3400,71.2500
48,70.0500,69.9400,70.8200,71.8000,72.0000,71.0200,70.7600
49,71.3900,71.4300,71.9700,70.5400,70.9100,71.1400,71.1600
50,71.4100,70.4200,71.1100,70.6800,71.1700,71.8000,70.7400
51,71.6500,71.2400,71.6000,70.7600,71.5700,69.9500,71.3600
52,70.5200,70.9700,71.4300,71.3400,71.2000,70.5800,70.7200
53,69.5900,71.6100,70.8400,71.5400,71.1900,71.0900,69.9600
54,71.4800,71.5700,71.6600,71.4300,70.4000,71.2400,72.0700
55,70.7000,71.1800,71.4500,70.3200,71.0500,71.2700,70.6300
56,70.5100,71.3700,70.8600,70.8600,70.9000,70.2700,71.6600
57,71.1800,70.6000,71.0400,71.4800,71.6400,69.2600,71.5300
58,70.2100,71.3900,71.3500,69.6200,70.7700,71.2300,70.9500
59,70.6300,71.6300,70.3100,69.3500,71.1700,70.2100,71.1900
60,71.1600,69.4900,69.9100,71.3100,71.6400,70.7100,69.9000
61,76.1900,76.2600,76.1900,76.0600,76.1500,76.5100,75.9900
62,76.8300,76.6900,76.6800,76.7600,76.8000,76.6900,76.5100
63,76.7300,76.7500,76.9800,77.1100,76.9900,76.8200,76.5200
64,77.1700,76.7800,77.2600,77.2900,77.0900,77.1500,76.9500
65,77.3500,77.1300,77.2900,77.2400,77.4500,77.2000,77.1700
66,77.4000,77.1600,77.2000,77.1800,77.2600,76.9300,77.0600
67,77.4300,77.2200,77.4200,77.3800,77.0700,77.0900,77.2700
68,77.6100,77.4100,77.3500,77.6000,77.4300,77.0800,77.2200
69,77.5200,77.5700,77.2600,77.5800,77.4300,77.2400,77.2700
70,77.4700,77.4700,77.3100,77.7000,77.4700,77.2600,77.5500
71,77.4800,77.4200,77.6000,77.6900,77.5900,77.2600,77.5700
72,77.5900,77.4800,77.6200,77.5900,77.5400,77.1800,77.4700
73,77.4200,77.4600,77.4800,77.8800,77.5300,77.3600,77.7000
74,77.6300,77.4600,77.4200,77.7700,77.5200,77.4700,77.5700
75,77.6200,77.6400,77.8000,77.7700,77.4200,77.1100,77.7600
76,77.7900,77.6000,77.5400,77.8700,77.5800,77.5200,77.5900
77,77.7000,77.5700,77.6400,77.8000,77.6000,77.4200,77.5700
78,77.7500,77.6000,77.8200,77.7800,77.7100,77.6000,77.9400
79,77.8200,77.6600,77.9000,77.7100,77.8000,77.6100,77.8200
80,77.7100,77.9200,77.8000,78.0800,77.8700,77.7900,77.7900
81,77.8400,77.9300,77.7300,77.8400,77.8300,77.6100,78.0600
82,77.7500,77.8700,77.6300,77.9400,77.7400,77.8000,77.9500
83,77.6200,77.7300,77.7500,77.7400,77.7100,77.7700,77.8800
84,77.7400,78.0000,77.8700,77.7800,77.8300,77.7700,78.0300
85,77.7400,77.7800,77.9800,77.9700,77.8000,77.8000,77.9700
86,77.7800,77.9500,77.8200,77.8100,77.7300,77.7500,78.1100
87,77.8200,77.9000,77.9000,77.9300,77.9000,77.6700,77.9500
88,77.8600,77.8400,77.7000,77.8800,77.8900,77.7900,78.1900
89,77.6300,78.0000,77.8600,77.8900,77.7600,77.6300,78.1700
90,77.6800,77.9400,77.8600,77.8400,77.8200,77.8100,77.9500
91,77.7700,77.7600,78.1100,77.7700,77.8500,77.8700,77.9700
92,77.8900,77.9900,77.9300,77.8100,77.7500,77.6300,78.0000
93,77.6800,78.2100,77.9500,77.7900,77.8600,77.6700,77.9600
94,77.8700,77.8900,77.8900,78.0100,77.8000,77.5600,78.0700
95,77.7800,78.0800,77.9100,77.9300,77.7700,77.8100,77.9400
96,77.7600,77.7600,77.9200,77.7400,77.8500,77.5900,78.1600
97,77.7800,78.0100,77.9700,78.0400,77.7400,77.5700,78.0900
98,77.8100,77.9200,77.7900,77.9800,77.8800,77.6300,77.8300
99,77.7300,77.6700,77.9000,78.0000,77.9300,77.9000,78.0400
100,77.7700,77.9000,77.9200,78.0300,77.7500,77.6600,78.0100
