epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,26.6500,15.9900,25.0800,40.9000,10.9700
2,32.4200,27.7700,31.6800,44.0100,19.5700
3,35.7000,30.9500,38.5900,43.0700,23.0500
4,36.0400,31.9800,40.1300,46.6000,26.5600
5,39.4800,37.8400,41.8300,46.6400,29.6900
6,40.7300,38.2800,41.4900,46.0200,31.2300
7,40.2500,38.3300,42.8100,47.5400,32.2900
8,39.9800,37.8100,43.2000,46.9000,32.8600
9,42.7500,42.0600,44.0500,48.1900,34.4400
10,41.3400,39.6800,44.0800,47.0100,36.2000
11,41.4100,41.2300,45.0200,47.6600,35.7600
12,42.4800,41.7600,44.2800,45.6500,36.3900
13,41.5000,40.4900,42.7800,47.1900,37.2500
14,43.1100,42.1700,45.0700,48.6600,39.8400
15,42.8700,40.5200,45.3900,48.0900,37.8100
16,43.2500,41.9300,44.1000,47.5600,39.7800
17,41.6000,43.7400,45.0800,46.6400,39.6200
18,44.2300,41.5100,46.0500,49.3200,39.2200
19,43.9800,44.2700,47.2900,49.9900,39.2000
20,44.6100,44.2900,46.3700,49.4700,41.5700
21,43.8600,44.3900,47.2700,49.1300,40.7300
22,44.3200,43.6700,45.8200,49.3700,42.7400
23,43.7000,42.9300,46.3300,49.3800,39.6300
24,44.6400,42.8600,43.8300,48.9600,42.8300
25,43.3500,43.6400,47.0300,49.0300,40.1600
26,43.5100,43.7000,46.1700,49.1800,40.5900
27,44.4600,44.6400,45.5500,50.5000,42.5000
28,42.8700,44.0600,47.5600,48.7200,42.4600
29,46.1100,44.2100,46.4600,51.0200,43.0500
30,45.9600,44.1900,48.0500,49.9200,41.9500
31,44.9000,44.9600,46.6100,49.7400,44.4100
32,44.6400,44.4100,44.9900,49.1100,42.7400
33,43.4700,45.3700,46.9400,49.9100,44.3600
34,44.2700,42.4800,47.3300,47.9300,44.1200
35,46.0000,44.5100,46.3500,50.6400,44.6900
36,45.7200,45.8900,46.7700,49.0000,45.9700
37,46.4300,46.6200,47.6400,50.3700,43.3200
38,46.0500,45.8700,46.0100,48.9800,43.8600
39,46.1200,45.1400,46.4400,51.1800,43.8800
40,46.0900,45.3900,47.1500,49.4300,44.3300
41,45.2400,43.8400,47.3900,51.1900,44.7700
42,44.8200,44.1300,47.8600,50.0000,45.4800
43,46.1700,45.3500,47.9300,49.8200,43.5300
44,45.2500,46.3200,47.9600,50.7900,44.5500
45,45.6500,44.8200,48.9100,50.5000,45.5400
46,44.9700,42.9900,48.4900,49.8000,45.1700
47,44.7800,43.9600,47.0100,51.8200,45.4600
48,46.4500,46.6600,47.4600,48.9900,44.1800
49,46.5200,44.0800,46.9800,50.2300,46.3300
50,46.1900,46.5000,49.1800,51.4700,44.9600
51,45.5800,45.8200,49.4500,51.0100,45.7800
52,45.0800,43.5900,47.6500,50.5600,45.6500
53,46.5800,43.8300,48.7500,50.9600,45.7000
54,44.8100,43.4300,47.9100,51.1800,43.3100
55,47.7200,44.7400,50.1800,50.9200,46.6800
56,46.0700,45.3900,48.0400,51.5300,46.8500
57,45.9100,47.0100,45.5100,50.2800,46.0700
58,45.0900,45.7200,47.8100,51.6400,46.3700
59,46.9600,46.9100,48.3300,50.2700,47.1600
60,46.5600,43.5100,47.6400,50.1200,45.9700
61,51.8700,51.5300,53.6300,56.5700,51.1900
62,52.3400,51.4500,54.1400,56.8400,51.9100
63,52.3000,51.6700,54.4600,57.0100,51.7400
64,52.9000,51.5300,54.4200,57.1400,51.8700
65,52.6300,52.0400,54.1700,56.8400,51.5500
66,52.3200,51.8300,54.8000,57.3100,51.9700
67,52.6300,52.0200,54.7600,57.2000,51.8200
68,52.7600,51.5500,54.4900,57.6000,52.0200
69,52.5400,51.7700,54.7700,57.3900,51.9400
70,53.2800,52.0500,54.8700,57.4500,51.9600
71,53.3100,51.9700,54.9100,57.4200,52.6600
72,52.8400,51.9100,54.6400,56.8800,52.0500
73,53.2400,52.0600,54.9700,57.1300,52.0800
74,52.7000,52.1000,55.2200,57.3700,52.8200
75,53.1600,51.8300,54.8400,56.9800,52.1300
76,53.2300,52.2800,55.2700,57.5200,52.3500
77,53.3200,51.9900,54.8800,57.4000,51.8800
78,53.3000,52.3800,55.2900,57.2900,52.5100
79,53.4700,51.9600,55.1500,57.7500,52.6300
80,53.3900,52.2300,54.9200,57.6000,52.7700
81,54.1700,52.8000,55.4400,57.7300,53.1800
82,54.0800,53.1200,55.8600,58.0300,53.1900
83,54.1600,53.2300,55.5300,57.9100,53.2800
84,53.9400,53.0900,55.8600,58.0500,53.4800
85,54.3100,52.8700,55.4200,57.9600,53.1000
86,54.2200,52.9100,55.6300,58.0500,53.1800
87,54.2300,53.0700,55.8500,58.0300,53.2200
88,54.2300,52.9000,55.6800,58.2600,52.9400
89,54.0800,53.0800,55.7000,58.3700,53.1800
90,54.1800,52.9500,55.6400,58.3000,53.1900
91,54.1600,52.9500,55.6700,58.3000,53.2800
92,54.3400,53.0700,55.7300,58.2200,53.1900
93,54.1400,52.8500,55.8300,58.2100,53.3600
94,54.2600,52.7900,55.7800,58.1200,53.2900
95,54.0200,52.9500,55.9300,58.2000,53.2700
96,54.1100,52.8900,55.8300,58.1900,53.0500
97,54.0300,53.0800,55.8300,58.1200,53.0200
98,54.2000,52.9500,56.0700,58.2000,53.1100
99,53.9700,52.8800,56.0600,58.2100,53.1800
100,54.1600,52.8400,55.9300,58.2600,53.4000
