epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,78.7800,79.1300,80.0900,77.8000,78.9000,78.7300,76.7100
2,77.8900,77.5700,77.7600,76.7500,78.3100,78.3400,76.8000
3,77.7000,77.6800,78.1700,77.0600,78.0600,77.6900,76.3700
4,77.6200,77.2900,77.1400,77.0500,77.8700,77.1100,75.7500
5,77.1800,76.9900,77.1800,76.8400,77.3800,77.1500,75.5300
6,76.8900,77.4400,77.4600,77.6700,77.6800,77.6400,75.2700
7,77.2000,77.2500,77.5100,77.2600,77.1500,77.4000,75.6600
8,76.5200,76.5900,77.9600,75.7800,77.6100,77.4300,75.2600
9,77.4600,76.6200,77.1600,77.3300,77.2300,76.3200,75.1000
10,76.3000,77.0200,77.6500,76.8100,76.8600,76.2400,75.4900
11,76.3300,76.7600,76.6500,76.3500,76.8200,76.7500,75.5800
12,76.4100,76.2200,77.2400,76.8700,76.9200,76.0400,76.0200
13,74.7200,75.8300,76.3000,75.7800,76.4700,76.8300,76.0600
14,76.4400,76.0600,76.7700,76.9700,76.2300,76.9300,75.8800
15,77.3500,76.8000,76.4900,76.4300,76.5600,75.6700,76.3000
16,76.5600,76.5100,76.5400,76.1400,76.6100,75.9800,75.9300
17,76.7800,76.4500,76.3000,76.1500,77.1300,75.8900,74.9900
18,76.7800,76.5000,75.0800,76.1100,76.0000,76.0400,75.2200
19,75.6700,75.3700,75.6600,76.2300,75.8200,76.2300,75.5500
20,76.1000,76.0100,76.6200,75.6200,75.4300,76.2600,76.4200
21,75.1600,75.9400,75.2000,76.3700,76.0300,76.3100,76.6700
22,74.4200,74.7500,76.0100,75.5500,75.9900,75.9700,74.5700
23,77.1500,74.7100,75.1700,76.1900,74.8600,76.2500,75.6100
24,75.5900,75.3900,75.8900,76.6500,74.6800,76.0300,76.3700
25,75.8200,76.2300,75.6700,76.8100,75.0500,74.9800,76.0200
26,75.2400,75.4400,76.5100,76.0800,75.8400,76.3800,75.3600
27,76.0800,76.3200,75.4600,76.5400,74.9400,74.9900,75.5900
28,74.1300,75.4400,74.5600,75.2700,75.2300,75.6700,75.3000
29,75.8800,74.9900,74.8000,75.4500,76.1300,75.0200,75.2400
30,76.4500,75.6600,75.6500,76.1000,75.8800,74.9600,75.9600
31,75.0600,75.8600,74.9800,75.6700,76.7400,75.9100,74.8100
32,76.4900,75.9800,76.0400,76.0600,76.0000,76.0600,75.8500
33,76.6500,76.0300,75.6700,75.5400,75.5200,75.3400,74.8900
34,76.3000,75.3000,75.0900,76.5600,75.1200,75.4000,75.0700
35,75.4200,75.6500,74.9300,75.1800,75.3100,75.4200,75.5900
36,75.8200,75.9500,75.8300,75.1200,75.9500,76.4200,75.6200
37,75.2500,75.1600,75.7600,76.3500,75.3700,76.3400,74.1300
38,75.1000,76.0900,76.3400,75.2200,75.7100,74.4200,75.3000
39,75.8300,75.4600,75.2000,75.0500,76.6700,76.6100,75.2200
40,75.0100,75.3900,75.5500,76.0200,76.7400,76.2300,75.0800
41,75.8500,75.6300,76.4400,76.1400,75.2800,75.4700,75.9700
42,75.5200,75.0400,75.3600,76.8100,75.2500,75.0500,75.8600
43,75.2600,75.0600,75.6800,75.9700,75.7500,75.1000,74.5500
44,76.3800,75.2400,75.9200,74.6200,74.6900,75.1600,75.7600
45,75.0000,74.8500,75.2100,75.0800,75.9700,75.5800,75.5800
46,75.4200,75.9800,73.7700,75.1200,75.7300,75.3700,74.5000
47,75.9100,74.9900,75.1100,75.0500,75.2700,75.4400,75.5500
48,75.2800,75.3300,75.0600,75.9900,74.5200,76.0800,76.1300
49,75.1900,74.7600,75.3000,75.8300,75.2400,74.4800,73.4800
50,75.5500,76.5400,76.5300,75.6300,75.0800,75.9200,75.1600
51,75.7100,75.9300,75.8000,76.0800,75.8400,75.5800,75.3300
52,75.3200,75.6100,75.9100,75.3100,74.5700,76.3400,74.7700
53,75.3300,75.9200,74.8200,74.8600,75.6500,75.5400,75.7500
54,74.9700,75.5900,74.1600,74.9900,74.6000,75.2900,74.9100
55,76.1000,75.1500,75.3600,75.7400,76.8300,74.7900,74.7900
56,74.5400,76.2300,73.9700,75.9200,74.5000,75.3600,75.3200
57,75.1100,74.8300,75.3800,75.2500,74.9300,75.7000,75.1100
58,74.6500,75.6400,75.2800,75.1900,75.5300,75.1500,75.2000
59,76.2300,74.0100,75.4900,74.7600,74.3500,76.0300,75.3400
60,74.9300,75.2200,74.5800,75.9600,76.1000,75.8400,73.9000
61,79.2900,80.0000,79.5400,79.5500,79.8800,79.6600,79.4100
62,79.7700,80.1400,79.9800,79.7500,79.9900,80.1000,79.7200
63,79.9200,80.1200,80.1200,80.0200,80.3300,80.2900,79.8000
64,80.0900,80.1000,80.2400,80.0300,80.3900,80.3100,79.9500
65,80.2700,80.3300,80.3300,80.2900,80.3400,80.6000,79.8600
66,80.0100,80.4400,80.5700,80.4000,80.6400,80.4000,80.1200
67,80.1800,80.2100,80.4700,80.2700,80.3800,80.3900,80.2000
68,80.3800,80.1900,80.5800,80.3800,80.4600,80.6100,80.2400
69,80.4500,80.3100,80.5500,80.4800,80.4700,80.7300,80.2700
70,80.3500,80.4400,80.5800,80.6600,80.5200,80.6800,80.3700
71,80.6100,80.4100,80.7800,80.5600,80.5500,81.0400,80.2600
72,80.5000,80.3800,80.6500,80.6000,80.5500,80.6300,80.3200
73,80.5700,80.5500,80.6400,80.6600,80.5900,80.7100,80.4800
74,80.5900,80.4200,80.7400,80.7600,80.8700,80.9400,80.6100
75,80.7400,80.6000,80.6900,80.8000,80.5000,80.7100,80.6100
76,80.5800,80.5900,80.6200,80.6700,80.8000,80.7900,80.4500
