n,par_fps,par_lat,pipe_fps,pipe_lat
1,51.9919,19.2005,51.9919,19.2005
2,103.2347,19.2722,103.5211,13.5202
3,155.2283,19.1619,129.8249,16.6300
4,203.2931,19.3604,143.1590,17.4647
5,252.0497,19.4063,159.0880,20.0031
6,300.2247,19.5157,141.9800,25.7045
7,349.8559,19.5662,146.1883,26.1265
8,396.7185,19.7260,141.8489,29.2597
