n,par_fps,par_lat,pipe_fps,pipe_lat
1,206.0519,4.8322,206.0519,4.8322
2,398.2684,4.9435,235.4476,6.8008
3,600.3583,4.8844,287.4299,8.1475
4,779.2089,4.9521,336.2999,10.1354
5,958.1705,4.9865,365.0694,11.3582
6,1136.5386,4.9956,383.0069,12.9069
7,1311.2898,5.0426,399.2867,14.3703
8,1468.8879,5.1422,374.5183,16.7812
