n,par_fps,par_lat,pipe_fps,pipe_lat
1,52.9617,18.8480,52.9617,18.8480
2,105.8625,18.7845,128.2537,11.7440
3,156.1096,19.0003,149.8310,12.6886
4,206.0869,19.0497,149.0557,16.6204
5,256.3297,19.0875,158.9944,17.5193
6,305.5240,19.1770,139.8921,21.9022
7,354.9027,19.2772,125.8060,26.0806
8,402.5632,19.4265,128.0674,28.0213
