n,par_fps,par_lat,pipe_fps,pipe_lat
1,22.4564,44.4983,22.4564,44.4983
2,44.8863,44.4579,47.9703,30.7408
3,66.9772,44.5907,83.7116,20.3308
4,88.9860,44.6376,125.5197,17.9634
5,110.7988,44.7464,128.6744,22.6950
6,132.5452,44.8091,141.3444,25.9918
7,154.4322,44.8858,124.8531,28.3966
8,175.5154,45.1106,130.4067,31.7872
