n,par_fps,par_lat,pipe_fps,pipe_lat
1,17.0837,58.5029,17.0837,58.5029
2,34.1573,58.4624,41.1273,41.4246
3,51.1928,58.4730,86.0624,26.8086
4,68.1448,58.4862,177.3691,16.8200
5,85.0223,58.5462,191.5933,18.7325
6,101.8292,58.6039,208.2076,21.4888
7,118.5602,58.6828,231.9724,22.4210
8,135.0925,58.8063,238.7704,25.6963
