n,par_fps,par_lat,pipe_fps,pipe_lat
1,9.4495,105.7949,9.4495,105.7949
2,18.8054,106.2905,19.2114,94.2633
3,28.2515,105.9645,31.2456,77.0366
4,37.6109,106.0100,43.4665,64.6457
5,47.0156,105.9742,59.2434,48.9215
6,56.3079,106.1048,74.8956,36.7055
7,65.5992,106.2451,90.0924,38.8549
8,74.8808,106.3784,121.6193,40.7279
