n,par_fps,par_lat,pipe_fps,pipe_lat
1,19.6224,50.9289,19.6224,50.9289
2,39.1690,50.9768,52.7502,34.0090
3,58.6718,50.9956,137.5205,17.4422
4,78.1059,51.0165,142.5064,17.5458
5,97.4396,51.0609,213.0380,13.7092
6,116.7053,51.1111,239.8568,15.4096
7,135.8500,51.1817,246.1858,17.7485
8,154.7952,51.2812,266.1411,17.9435
