epoch,p58,p81
1,61.8840,44.4540
2,59.8740,51.2860
3,62.7920,53.6080
4,65.9660,55.2280
5,66.7640,58.6460
6,67.4560,60.4400
7,67.6060,61.2140
8,68.0160,61.2820
9,68.3120,63.1540
10,68.2740,62.7820
11,68.8800,64.5200
12,69.0480,63.8700
13,68.9220,64.1560
14,69.2360,64.3740
15,70.1860,64.9420
16,69.7100,64.8580
17,70.7880,65.4420
18,70.6380,65.5180
19,70.7700,64.5780
20,71.6140,65.5940
21,71.6120,65.2120
22,72.5880,65.4060
23,73.2940,66.1620
24,73.2520,66.1300
25,73.5460,66.9220
26,73.7900,66.0240
27,74.5320,66.4400
28,75.0480,68.0800
29,75.4000,67.3800
30,75.8340,68.3060
31,75.9180,67.6100
32,76.3380,68.6060
33,76.5720,67.6180
34,76.7940,68.6340
35,77.0560,68.9160
36,77.2720,68.6500
37,77.2580,68.9740
38,77.4020,68.7540
39,77.4020,69.4820
40,77.4520,69.4640
41,nan,69.9240
42,nan,70.1620
43,nan,70.2900
44,nan,69.8740
45,nan,70.7380
46,nan,70.7440
47,nan,71.2620
48,nan,71.6400
49,nan,71.8200
50,nan,72.0700
51,nan,72.2020
52,nan,72.4960
53,nan,72.9340
54,nan,72.7160
55,nan,73.2000
56,nan,73.5400
57,nan,73.6900
58,nan,74.0500
59,nan,74.1260
60,nan,74.4920
61,nan,74.7360
62,nan,74.8200
63,nan,75.1600
64,nan,75.3580
65,nan,75.4960
66,nan,75.6200
67,nan,75.8840
68,nan,75.8500
69,nan,76.0020
70,nan,76.0200
71,nan,76.0500
72,nan,76.1120
73,nan,76.2040
74,nan,76.2360
75,nan,76.2480
