epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,57.9500,53.9400,52.5300,60.7700,64.6400,64.9900,61.3100
2,62.0500,59.2900,61.6000,65.7700,67.4400,67.3000,67.1200
3,65.9600,64.0400,65.1000,66.4400,67.4000,66.0900,64.4900
4,64.5300,64.8100,62.3600,65.4900,67.4300,67.6200,67.1600
5,65.8000,63.2700,66.3000,66.2300,69.4500,68.5700,63.9600
6,65.0400,66.4800,65.2200,66.2500,68.5900,66.6400,67.9600
7,67.5400,67.0100,65.6100,67.5200,66.1700,67.4600,68.3800
8,65.6800,67.1700,66.3900,68.2800,69.5000,68.1700,67.2900
9,68.6900,69.1400,67.9800,68.1700,68.7700,69.4200,70.1500
10,68.0800,68.4400,68.4800,68.7800,68.8600,68.2800,69.6100
11,69.1500,67.0100,68.3800,69.2600,68.7500,69.5700,68.8800
12,68.1400,68.1300,65.2500,68.9200,69.8700,68.9200,69.8400
13,67.5900,67.6400,67.5500,68.4400,70.3800,68.8000,69.1500
14,66.5800,66.2900,67.8300,69.2000,69.0500,67.7300,69.9500
15,68.5000,67.8600,67.6500,70.1800,69.0800,69.0000,68.3100
16,68.4000,69.8600,66.2300,69.0100,68.5500,69.1600,69.1800
17,68.3300,67.3400,68.6600,69.2700,70.2600,69.9000,69.3000
18,66.8600,66.6300,67.8700,67.8000,68.9200,69.2200,69.9400
19,69.1400,68.4700,68.8200,68.6100,68.7500,68.1000,68.4600
20,68.6400,66.2000,67.2200,68.3500,68.0900,69.0500,68.4900
21,68.5500,66.9400,68.8300,69.8400,68.5100,70.7900,69.8600
22,69.6400,67.1900,68.9600,69.4600,69.2100,69.8400,68.8400
23,67.5100,68.8300,67.1700,68.8000,70.5400,69.1500,68.6300
24,66.2900,67.8600,68.8100,69.9400,71.0700,69.8100,69.5300
25,68.7400,68.3200,67.9400,67.7800,70.2100,68.1100,69.0500
26,68.3400,67.7600,68.5800,68.2100,69.0800,65.9800,70.0400
27,68.4400,68.8400,68.3300,69.7900,69.6300,68.1000,68.0400
28,68.2200,68.7700,68.3600,68.1500,69.5700,68.7500,70.4400
29,68.6400,67.9100,68.3000,69.4900,69.5100,69.6900,69.4900
30,67.9800,67.7700,68.2500,69.5900,70.4700,69.9100,68.7200
31,67.0700,68.4200,68.2500,69.4500,71.2500,69.3000,70.2600
32,69.5900,68.0600,68.9400,68.9900,71.2000,68.6600,69.0800
33,68.3500,68.5500,68.9900,68.5100,69.9300,67.4700,69.2500
34,67.9400,68.2900,68.7000,68.6200,68.3500,67.6400,70.7600
35,66.1700,68.6100,67.4400,69.6700,70.4000,69.9300,70.5700
36,68.4400,68.4100,67.8100,70.3200,70.0000,67.9500,71.1900
37,68.7400,69.0200,67.9600,67.9300,70.0700,70.2900,69.8900
