epoch,p47,p69
1,60.9560,53.7520
2,58.8860,53.6420
3,61.6860,55.4180
4,63.0560,56.9860
5,64.4640,60.6360
6,64.7180,59.9960
7,64.9720,61.7940
8,65.0780,62.1900
9,65.8000,62.9740
10,65.5100,62.7420
11,66.9660,62.5620
12,66.3620,63.5340
13,67.2860,64.0420
14,67.0080,64.4540
15,67.8480,64.7680
16,67.2100,64.6700
17,68.6860,64.0500
18,68.1840,64.6720
19,69.2640,64.5620
20,68.5640,64.9620
21,69.2980,65.4460
22,69.5680,65.4700
23,70.4240,65.7060
24,70.6520,65.6200
25,71.0840,66.2240
26,71.0880,66.4600
27,72.2820,66.9500
28,72.3480,66.8360
29,72.7320,67.7460
30,73.3640,67.4720
31,73.4540,67.1360
32,73.9060,68.1500
33,74.2240,67.8800
34,74.4880,68.0600
35,74.7880,68.8000
36,74.8800,69.1120
37,74.9880,69.1680
38,75.1380,69.4480
39,75.1540,69.8700
40,75.1660,69.7540
41,nan,70.2600
42,nan,70.4920
43,nan,70.8180
44,nan,71.2220
45,nan,71.4880
46,nan,71.4440
47,nan,71.8940
48,nan,72.0320
49,nan,72.4620
50,nan,72.6100
51,nan,72.7540
52,nan,72.9340
53,nan,73.2380
54,nan,73.3460
55,nan,73.5360
56,nan,73.5340
57,nan,73.6320
58,nan,73.7060
59,nan,73.7680
60,nan,73.7960
