epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,64.8900,66.5900,59.4900,65.0700,59.0400,54.9800
2,66.0400,65.7800,62.3400,65.8400,60.7400,59.1000
3,66.1800,65.2400,65.4300,63.2000,61.8800,60.6400
4,64.7100,65.4900,62.8200,64.7800,64.2400,60.5700
5,65.8000,64.4500,64.4500,65.8400,63.8000,61.6400
6,66.1000,66.3100,64.6500,66.2500,62.8000,61.0700
7,66.6700,66.5200,65.5500,66.0800,65.0500,62.3500
8,65.3200,65.2000,65.5800,65.1900,63.4100,63.0800
9,67.1700,66.3800,64.3800,64.8200,65.3900,62.6300
10,66.2400,65.0500,63.0000,65.3500,64.6600,64.0400
11,67.1400,66.1000,66.0500,67.3700,65.2100,62.8700
12,66.9000,66.2200,65.2000,67.2900,65.2200,64.6100
13,67.0000,66.3200,66.2800,65.1400,65.8900,63.1300
14,66.6300,66.9500,65.2100,66.3000,64.7800,64.1900
15,66.4500,67.2000,66.8500,66.5700,63.8800,64.8300
16,66.6400,67.7500,65.3900,67.0000,64.7100,64.9900
17,67.2500,65.7900,64.9100,66.7100,65.1900,64.3800
18,65.3200,64.4600,66.4000,66.1600,65.4100,63.2200
19,67.5400,66.1700,66.0200,67.3100,66.4500,63.4700
20,65.8900,66.2900,66.7200,66.7600,65.3100,64.7500
21,65.8500,64.8700,66.6200,65.7000,67.3400,64.7200
22,63.3300,66.2600,66.3900,67.1900,66.7100,65.2500
23,65.5200,63.6900,63.7800,65.7500,63.5800,62.9400
24,67.3800,65.8100,65.5300,65.3700,66.1300,62.8600
25,67.3800,66.1600,65.5200,67.3100,65.1400,64.1200
26,67.0000,64.9000,61.1200,66.2400,66.2600,64.7600
27,65.6100,65.8200,66.3500,66.2600,64.7700,65.1600
28,66.9400,67.5700,66.8600,66.5200,65.6900,64.7300
29,66.7900,67.7900,67.0900,66.2500,65.8100,65.5000
30,67.0000,67.4400,65.6900,66.3100,66.7500,64.7600
31,66.6300,65.7000,63.6600,66.6800,65.8100,63.4600
32,66.7700,65.4900,64.6200,67.0700,66.1900,64.9600
33,65.8400,66.4000,65.7300,67.2400,66.2600,64.5100
34,66.3200,65.6400,66.0700,66.8300,65.4700,65.4100
35,65.8400,66.1100,66.8900,66.7500,64.9600,65.3800
36,66.3400,66.7300,65.8100,66.9400,65.6300,64.9600
