n,par_fps,par_lat,pipe_fps,pipe_lat
1,14.1902,70.4382,14.1902,70.4382
2,28.3521,70.4336,27.7560,59.9347
3,42.3481,70.6190,47.0346,44.7090
4,56.3972,70.5910,69.3044,29.1960
5,70.4091,70.6390,84.7716,28.5023
6,84.2338,70.7698,108.2655,28.2770
7,98.1917,70.8292,119.4226,31.4090
8,111.8541,71.0559,120.8972,34.3897
