n,par_fps,par_lat,pipe_fps,pipe_lat
1,206.052,4.832,nan,nan
2,398.268,4.943,235.448,6.801
3,600.358,4.884,287.430,8.147
4,779.209,4.952,336.300,10.135
5,958.171,4.987,365.069,11.358
6,1136.539,4.996,383.007,12.907
7,1311.290,5.043,399.287,14.370
8,1468.888,5.142,374.518,16.781
