n,par_fps,par_lat,pipe_fps,pipe_lat
1,44.7404,22.3180,44.7404,22.3180
2,89.1551,22.3361,165.2052,9.7517
3,133.6125,22.3216,217.8063,11.5347
4,177.2714,22.3571,241.5579,13.7222
5,220.7131,22.3938,261.6435,15.9105
6,263.2196,22.4608,285.4371,16.6826
7,306.0122,22.5136,288.4970,18.9812
8,347.6968,22.6056,300.7065,20.5832
