pct,top1,thr,lat
90,71.450,1038.44,6.772
80,75.050,510.75,11.749
70,77.500,289.79,16.340
59,78.300,268.94,17.774
48,78.350,199.40,22.173
38,78.050,138.24,28.357
26,78.500,127.92,29.054
10,78.750,119.77,34.765
