lost,thr_speedup,lat_speedup
-1.950,1.5885,1.2530
-1.450,1.6849,1.4654
-0.800,1.4617,1.0833
-0.600,2.8955,2.1697
-0.550,2.3967,1.6335
-0.100,4.5949,2.8333
0.000,1.0000,1.0000
0.150,1.8697,1.2792
3.900,9.5281,5.1671
4.050,10.2501,5.6666
