n,par_fps,par_lat,pipe_fps,pipe_lat
1,200.1178,4.9743,200.1178,4.9743
2,391.9168,5.0243,219.4803,5.7877
3,557.7979,5.2087,222.9642,7.4838
4,745.0084,5.1290,239.6699,9.8982
5,916.3830,5.1641,246.7492,10.3183
6,1084.1803,5.2133,265.4523,12.8600
7,1252.3056,5.2682,269.0838,13.3311
8,1421.7654,5.3430,271.0987,14.8472
