n,par_fps,par_lat,pipe_fps,pipe_lat
1,9.8033,101.9730,9.8033,101.9730
2,19.5440,102.2781,22.5817,85.4108
3,29.3802,101.9712,38.9898,68.3794
4,39.0710,102.1996,69.7430,50.4578
5,48.8942,102.0028,116.8175,33.0132
6,58.5768,102.1144,143.3049,27.2731
7,68.2966,102.1408,141.3728,30.0233
8,77.8831,102.3010,141.9372,31.9952
