epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,48.1600,45.1300,47.0500,41.2200,60.4400,60.7800,58.7000
2,57.6400,57.0500,56.2000,52.7800,63.4100,60.6100,65.2400
3,60.6100,60.6600,58.2600,58.7900,67.8600,63.4400,63.4400
4,58.7600,60.2700,60.8400,58.9600,65.6200,66.9500,64.5800
5,59.3300,63.3300,61.3100,61.4000,66.4600,64.1700,64.3400
6,59.9600,63.4000,61.4400,61.1500,67.5500,67.6000,64.6300
7,64.8500,66.1700,61.7700,62.3600,68.1900,67.3100,66.6700
8,63.3900,64.4500,64.7000,63.7000,68.0800,67.6100,66.5000
9,65.6000,66.7800,65.3800,65.5200,67.1900,65.6200,69.1500
10,65.5200,66.2200,66.5300,64.6400,68.2500,66.3200,66.9800
11,65.2800,66.9100,65.7700,63.7200,66.5200,67.0500,68.0500
12,65.2000,66.1400,66.2300,65.5800,68.2600,68.4900,68.5400
13,64.2400,65.7300,65.7400,65.9200,69.9300,67.5100,69.5300
14,66.0400,66.4800,66.0300,66.7600,68.8400,68.8800,68.2700
15,65.1700,65.8600,65.0000,66.2400,67.6600,65.7300,66.3800
16,64.9400,65.3900,63.1400,65.7300,68.6700,67.3400,69.6700
17,66.2800,66.2200,68.0100,67.1300,67.9000,68.4200,69.0100
18,66.7400,66.5700,65.8900,64.1700,69.2300,68.1000,68.4300
19,67.2100,64.6400,66.4500,65.4900,67.8700,68.7300,69.9700
20,65.1100,65.4600,66.2700,65.7800,68.7400,68.4700,69.2500
21,67.7300,66.6100,65.3000,67.1300,67.3200,67.6900,69.2200
22,67.4300,67.1100,67.8200,65.5700,67.8000,67.3800,70.1700
23,67.5700,65.8500,66.0700,65.7200,69.3700,68.3300,68.3400
24,65.6300,65.2400,67.3500,66.1000,67.9000,69.5600,68.1400
25,65.7900,65.1800,65.4000,66.9100,69.2900,68.9900,69.9000
26,65.3100,67.6800,67.5400,66.9500,69.7700,69.9200,69.6700
27,67.4100,66.9900,67.8200,67.7400,68.9300,70.0700,69.7800
28,68.3300,67.1900,65.7800,66.7700,69.1500,68.2100,71.5600
29,67.1200,67.7900,66.3800,66.7500,68.7400,69.5800,69.7100
30,66.2400,66.5100,65.5900,66.4200,69.8900,66.9600,69.6000
31,66.2600,66.6300,66.1000,64.2800,69.8400,68.1100,70.7500
32,65.0600,64.9500,67.3200,65.7600,68.9500,69.4800,70.6100
33,66.3000,65.9400,66.2700,67.6700,69.4200,66.8400,69.9700
34,67.3600,66.6300,66.6300,65.9700,69.2100,69.7700,69.7000
35,66.4600,64.3800,66.8800,67.2100,69.8100,70.0900,70.1600
36,67.9100,66.7800,66.5900,65.4000,70.0300,68.8300,69.5700
37,68.1600,66.8000,65.5700,66.1300,69.7300,69.4700,70.1200
38,66.9700,67.6400,67.3200,68.1900,67.8700,70.0700,69.6800
39,66.5200,67.6800,66.8500,67.4700,68.7200,69.6700,70.4300
40,68.2300,66.4100,64.6800,67.0700,69.5700,69.1600,70.3700
41,67.1700,67.3500,67.8900,67.2200,69.0900,68.6700,69.6800
42,67.3600,67.4300,66.9400,67.4600,69.8100,69.1200,69.6800
43,66.2300,66.3700,67.7600,65.9900,67.9400,69.7700,70.4400
44,65.6100,65.1000,65.7400,67.4000,70.0500,69.0700,69.7100
45,67.1800,64.9200,66.3600,66.9400,67.3600,68.3000,69.6000
46,66.7100,66.8000,66.6400,66.1900,69.0100,68.8300,70.1200
47,67.2700,68.0300,66.8100,65.7300,69.4700,67.3500,68.6700
48,66.5300,66.9400,67.1800,66.9200,69.2000,66.2800,70.0100
49,65.9400,67.9000,67.2400,67.1700,68.9100,69.0500,70.7000
50,66.2800,67.4900,67.7400,65.8000,69.1700,69.2300,69.5100
51,65.8500,65.8200,66.4800,67.0800,68.6000,68.8300,70.4000
52,66.0300,67.9400,67.6500,66.7100,68.7100,68.2500,69.9900
53,65.0700,67.2900,67.6400,66.2600,70.3700,67.7200,69.3700
54,66.7300,67.0700,66.6500,63.3900,69.1400,68.5400,69.5300
55,66.1300,66.6800,67.2700,66.0700,68.3800,69.2600,70.1700
56,66.2400,67.3000,67.2600,66.0600,70.8400,69.0300,69.7700
57,67.1300,65.8300,65.5800,66.4200,68.8600,69.1800,69.8300
58,66.5100,68.1000,66.7700,66.3000,69.3500,68.2300,70.2000
59,67.2200,66.1100,67.0700,67.1400,68.2400,69.6300,69.3400
60,66.6800,65.5100,64.5500,66.2300,67.1600,68.8200,67.5300
61,72.4700,72.6100,73.3300,72.3800,74.9100,74.7100,75.0600
62,72.7900,73.0000,73.5300,72.5000,75.3000,75.0700,75.2300
63,72.8800,72.9800,73.8800,72.6900,75.5800,75.1900,75.3700
64,73.0000,73.5500,74.0800,72.9500,75.6500,75.3800,75.6400
65,73.0900,73.7100,74.1900,72.9100,75.7200,75.4100,75.8600
66,73.5000,73.8300,73.8100,72.9300,75.9400,75.3100,75.7800
67,73.4200,73.9000,74.0500,73.2000,76.0700,75.4900,76.1400
68,73.4100,73.7800,73.9300,73.1600,76.0800,75.5300,75.9000
69,73.6500,74.0100,73.9100,73.3400,75.8400,75.3600,76.2100
70,73.4400,73.7500,74.1000,73.1600,76.1300,75.1300,75.9000
71,73.5200,73.8300,74.4400,73.3300,75.9500,75.3700,76.0300
72,73.5900,73.8000,74.3700,73.1900,75.7900,75.5200,76.2200
73,73.7700,74.0700,74.3300,73.5100,75.9900,75.5100,76.2700
74,73.5500,74.0700,74.3200,73.4700,75.9300,75.6400,76.3700
75,73.6200,74.0200,74.1700,73.5100,75.9300,75.5100,76.1600
