epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,random
1,65.6600,63.5700,60.6600,63.4000,54.2000,48.9400
2,64.2200,65.1700,64.1400,63.5800,57.2800,54.6800
3,63.8300,63.7600,64.8000,64.4900,59.6600,57.4800
4,65.3300,66.4400,63.2300,65.2100,60.4500,59.5100
5,65.4000,66.2700,64.3400,65.9800,61.2500,60.1200
6,64.5700,64.6800,64.0200,66.4900,62.3500,59.3400
7,65.9000,66.6000,64.7900,66.1200,62.0400,60.8500
8,65.9500,66.0300,65.6600,66.3000,63.0700,61.7000
9,66.0000,66.0100,64.5100,64.4300,63.6300,62.5900
10,65.9300,64.6600,64.5300,66.0200,62.3800,63.2500
11,67.1100,66.4800,64.3500,65.4700,63.5800,61.3400
12,66.8500,66.5800,64.5100,66.1600,64.6600,62.9400
13,65.5800,65.8200,64.7800,66.4400,62.8600,62.7900
14,67.2100,65.9600,66.1100,67.1300,63.0500,62.8700
15,66.8600,66.6500,65.4900,66.9500,62.6400,61.4600
16,67.1500,66.5900,66.8700,64.6900,63.6800,63.8700
17,66.5600,66.0300,64.6100,66.7100,64.1600,61.9400
18,63.6900,66.3700,65.0600,66.8100,64.2100,61.1500
19,66.5700,65.9000,64.9100,64.0100,63.8900,64.4400
20,64.6700,65.2200,64.2700,66.2400,62.7200,62.1900
21,66.7800,68.1300,65.9800,66.1800,66.2700,62.8300
22,64.8100,65.7800,65.5800,65.8900,63.6000,63.0500
23,65.1100,66.6000,62.5700,66.5200,65.4700,61.9000
24,65.1500,66.3300,63.9700,64.3300,64.2400,62.9000
25,64.7900,66.7100,66.7000,67.2200,64.8800,62.9800
26,67.2700,65.9500,66.5700,66.3900,63.6700,64.0400
27,65.2100,66.2600,66.2600,64.8400,65.0500,62.9000
28,65.0400,65.4500,66.5700,65.9600,64.4200,63.8700
29,65.7300,67.2600,66.3200,65.2800,65.3400,64.4700
30,65.6300,67.2200,66.1200,66.9300,63.8900,64.3000
31,64.7400,66.7400,65.1500,65.3200,64.7700,63.2600
32,65.9300,65.8200,65.6600,66.7300,65.1400,63.5500
33,66.5800,64.8600,65.9400,66.5900,65.7800,64.1600
34,66.3700,67.0700,67.0100,65.5300,63.9000,63.6800
35,65.7600,66.5700,64.9900,67.0000,64.7900,64.5300
36,66.1700,66.3600,66.0100,67.2000,65.9400,64.4300
37,66.9900,65.8700,67.1900,66.5200,65.0900,64.6800
38,66.5300,66.6500,66.2500,66.6200,66.3700,65.4700
39,67.1900,67.2000,65.6500,66.7100,64.8700,63.4600
40,66.8100,65.9200,65.7400,66.7700,65.3100,63.8500
41,67.1100,66.8500,64.8500,66.3500,64.8200,64.9200
42,66.3000,66.0500,65.7100,66.4200,65.8500,64.9700
43,65.5700,65.8500,67.0800,66.8300,64.9600,63.5600
44,67.2200,67.1500,66.4800,67.4900,65.8700,63.7100
45,65.9400,64.9700,65.3300,65.8000,63.9200,64.2400
46,65.8500,67.1900,67.0900,67.9700,65.4700,64.3000
47,66.7900,66.5100,67.3600,65.2100,65.8900,64.4600
48,64.3600,66.7900,66.1800,65.4500,65.5600,63.3200
49,66.0700,67.0200,65.7500,66.2600,65.3200,64.4300
50,66.7600,67.0500,66.6800,67.1400,66.6400,64.8600
51,66.7600,67.1100,64.0000,66.4600,65.5400,64.7000
52,65.8400,65.8400,64.8000,66.8500,63.8300,62.8400
53,67.3300,66.5900,66.1600,65.8300,65.5300,62.5900
54,66.8900,66.1500,66.5200,66.0300,65.9600,65.2200
55,66.0500,66.7100,66.6400,66.7400,64.9500,64.6200
56,66.7100,66.4900,66.7500,67.4300,66.0100,64.6800
57,66.8700,66.5200,63.6700,65.5700,64.1100,65.2800
58,66.9600,65.9000,65.6800,66.0400,64.3900,65.1500
59,65.7500,67.1000,64.5300,66.1500,65.6900,64.8800
60,65.5000,66.3200,65.6900,65.5600,65.4400,64.9300
61,71.5700,71.4500,71.5500,71.3300,71.1800,69.8700
62,71.6300,71.8600,71.8500,71.7400,71.4100,70.5700
63,71.8600,72.0000,72.2700,71.7800,71.5100,70.6500
64,72.0900,72.3700,72.0900,72.1300,71.7700,70.7700
65,72.1900,72.4600,72.5200,72.3000,71.7900,70.5800
