epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,78.4500,79.0200,78.8700,76.0200,79.1400,77.7300,74.1300
2,77.8300,77.6600,77.9700,75.1900,78.4800,78.2200,75.0900
3,78.1500,77.6200,77.4900,75.3600,77.8700,77.6100,74.1500
4,77.1300,77.2900,77.8200,76.4000,77.5300,77.2800,75.2200
5,78.0700,77.9400,76.8100,76.0800,77.3200,77.4700,75.3300
6,77.3200,77.7600,77.5300,75.7600,77.2400,77.4400,75.6100
7,77.4200,77.0600,77.2500,75.7800,77.3800,77.5200,75.7500
8,76.8700,76.6300,77.6800,76.5600,76.5900,76.3900,74.1800
9,77.1500,77.6800,76.6000,76.7900,77.4100,76.1300,75.9500
10,76.7800,77.0200,77.5500,76.4600,77.5700,77.0100,76.3900
11,75.8600,77.1800,77.1300,76.5400,76.8100,76.7600,75.5400
12,77.4400,76.1000,76.1800,76.6800,76.5600,77.3800,75.9800
13,76.3300,76.9700,75.9100,76.6000,76.2900,77.1200,75.1300
14,75.6600,76.3800,77.1100,76.5800,75.6700,77.1100,75.7700
15,75.2200,76.0600,76.0500,76.5700,76.1500,75.9300,75.5800
16,76.5800,75.6500,77.0500,76.3800,76.8800,75.7700,76.1300
17,74.7200,75.6100,76.0300,74.9200,75.8800,75.7200,75.6300
18,75.8000,75.8400,77.1900,75.8900,77.3600,76.1400,74.7600
19,75.8400,76.0400,76.5600,75.6700,75.6800,76.6500,75.5400
20,76.5000,75.7900,76.2500,76.0400,75.7500,76.3100,74.9500
21,75.3300,75.6700,75.4700,76.1100,76.5100,76.2900,75.3100
22,76.4300,75.6800,76.5300,75.1800,75.3600,77.0000,75.7300
23,75.6200,75.6300,75.0800,76.1700,75.4500,76.3000,75.4000
24,76.4900,75.8000,76.3000,76.7500,75.2900,75.7400,74.9200
25,76.6300,75.7400,75.9400,76.0400,76.7300,76.1500,75.8700
26,75.4100,76.5100,75.8300,76.4300,76.0400,75.9100,75.5400
27,76.0200,75.7000,75.8500,76.1800,76.0300,76.2500,76.3200
