n,par_fps,par_lat,pipe_fps,pipe_lat
1,147.0854,6.7657,147.0854,6.7657
2,286.6442,6.8856,173.8530,8.7248
3,406.7003,7.1275,195.8195,10.2512
4,539.3301,7.0394,176.0498,13.0225
5,672.4014,7.0571,170.8944,15.9972
6,795.6341,7.1209,163.6273,19.7866
7,916.1007,7.2167,171.3343,20.2370
8,1038.4423,7.3319,190.8971,21.7186
