pct,top1,lost_per10
30.555,79.490,0.2520
38.561,79.492,0.1992
44.976,79.438,0.1828
60.251,78.618,0.2725
70.102,78.382,0.2679
78.462,77.264,0.3818
86.643,76.052,0.4857
95.069,71.496,0.9219
