n,par_fps,par_lat,pipe_fps,pipe_lat
1,19.7809,50.5211,19.7809,50.5211
2,39.2439,50.8755,42.4654,37.3079
3,58.9236,50.6805,76.5574,23.6955
4,78.4647,50.6579,111.5405,21.7689
5,97.9974,50.6554,122.2499,22.9044
6,117.1671,50.7481,133.4450,26.4214
7,136.3387,50.8867,142.9623,30.0099
8,155.2844,51.0458,122.3341,33.6096
