epoch,magnitude_l1,magnitude_l2,fpgm,taylor,random
1,50.1500,49.9100,48.4300,49.5600,47.7400
2,50.3100,49.4000,49.0700,50.9900,48.7100
3,50.8500,50.1000,50.6700,50.6500,49.0400
4,50.2400,50.4000,49.9100,49.5700,49.4900
5,50.4600,50.3400,48.8700,50.6900,48.9900
6,49.6300,49.6600,49.9800,48.8300,49.2400
7,50.9400,50.9400,50.1400,49.0700,50.2100
8,49.4800,49.4100,48.4400,50.4800,47.5200
9,51.6400,51.2900,51.0200,50.9500,50.5000
10,50.2500,51.0600,50.2000,51.2700,48.5600
11,50.8200,49.9600,49.9100,51.1000,49.7700
12,51.6800,51.4500,51.0400,51.1200,50.6400
13,50.8800,50.9400,51.0200,51.1300,49.8400
14,51.5500,51.6200,50.7500,51.1700,50.8700
15,51.0700,51.0500,50.8700,50.2000,49.8800
16,50.7900,50.9200,51.0400,50.8800,51.1700
17,51.7400,51.2600,51.9900,52.1000,49.8300
18,50.3400,51.7000,51.7000,51.9100,51.6100
19,51.1600,50.8400,51.9000,52.8200,50.0700
20,50.9800,51.8900,52.2200,48.9800,50.6100
21,51.2700,52.7400,50.9900,52.0900,50.8600
22,52.3500,51.1800,50.9900,52.7800,50.2700
23,52.3500,51.6600,51.3800,53.0400,51.5100
24,52.3800,52.9100,51.7300,51.2300,50.6400
25,52.6200,51.5000,51.6300,52.6800,50.0100
26,50.5700,51.2000,51.2900,52.4500,49.4200
27,53.0800,51.0300,52.0100,51.3000,49.9900
28,52.0700,49.7400,50.6100,51.0700,49.6700
29,51.5600,50.4100,51.2300,52.0400,51.4200
30,51.3600,51.5500,51.5000,52.2500,51.6300
31,53.2800,51.6200,52.6900,52.0800,50.6500
32,52.2400,51.0100,52.2100,52.0500,49.7200
33,51.5900,51.0700,51.5100,51.6900,49.8800
34,52.1200,51.6300,52.7500,52.7600,51.0200
35,51.2800,51.7700,51.1800,52.2100,50.6000
36,52.5700,52.2800,51.3600,52.6400,51.6200
37,52.9500,52.3000,52.5000,51.8400,51.4200
38,51.3200,52.5700,51.2400,50.8800,51.5900
39,51.9600,52.5000,51.5900,51.8000,49.4300
40,53.8600,53.5900,52.8700,52.2300,50.9800
41,52.4500,51.8300,52.4500,52.8500,51.3300
42,52.8300,51.9900,52.4700,52.1400,51.2400
43,52.1000,52.5500,53.6700,52.4100,52.0200
44,52.2300,52.7800,52.1600,51.7400,52.7400
45,52.3500,52.5900,52.1300,50.8300,52.4400
46,50.8800,51.5700,51.6200,53.3500,52.1700
47,51.9500,52.1600,52.4200,52.2900,51.9200
48,52.4200,51.8800,51.6200,51.4700,52.0600
49,53.0000,52.0000,53.0500,51.9100,52.3600
50,53.4000,52.7000,52.8900,52.3100,51.4900
51,52.3600,53.1600,53.4700,51.7800,53.7300
52,52.6400,52.9600,51.9400,52.1200,51.3500
53,53.4800,52.3600,52.1500,53.0000,52.5700
54,52.2900,51.2700,51.6200,52.4900,51.1600
55,53.0600,52.7100,52.4100,53.2100,53.2000
56,51.3800,52.3300,51.8800,54.4200,51.7100
57,52.8300,51.8200,51.4800,51.7100,52.1300
58,50.6300,52.1900,48.8100,53.8600,51.0800
59,53.1200,53.4500,51.8600,52.2700,51.7600
60,53.3000,52.6800,52.3200,53.2500,51.4800
61,58.2700,57.4300,57.4600,58.0300,57.5400
62,58.7600,57.4900,57.5000,57.9900,57.1400
63,58.4500,57.6500,57.9800,58.1900,57.3800
64,58.2700,57.5500,57.6900,58.1100,57.4600
65,58.6300,57.7300,58.0000,58.2900,57.6700
66,58.7100,57.8700,57.7800,58.2000,57.7200
67,58.7100,58.0000,57.7100,58.2800,57.9600
68,58.7900,57.9500,57.8800,58.1400,57.4000
69,58.8300,57.8400,57.7800,58.2800,57.9300
70,58.6800,57.7800,57.6200,57.8800,57.6400
71,58.6600,57.4800,57.8000,58.5500,57.8500
72,58.4400,57.5100,57.7400,58.0900,58.0400
73,58.5600,57.9200,57.6800,58.4300,57.6700
74,58.6300,57.7200,57.8800,58.2100,58.0800
75,58.7400,57.9500,57.6400,58.3900,57.8700
76,58.8400,57.6100,57.8400,58.0700,58.2100
77,58.7400,58.1000,57.5800,58.2600,57.6400
78,58.4100,57.7300,57.7400,58.2400,57.8300
79,57.8300,57.7200,57.6900,57.8400,57.7100
80,58.8700,57.9600,57.6400,57.9400,57.4700
81,58.8000,58.2000,57.9500,58.5000,57.9800
82,59.0700,58.2100,57.9800,58.5800,58.0200
83,59.0500,58.2700,58.0500,58.7100,58.1100
84,59.1500,58.1800,58.0300,58.7300,58.1400
85,59.0700,58.2400,58.4200,58.5300,58.1400
86,59.0600,58.1900,58.0000,58.5600,58.2700
87,59.1600,58.2700,58.3000,58.6100,58.1900
88,59.2000,58.1600,58.3000,58.6600,57.9700
89,59.1800,58.2500,58.1300,58.7700,58.3500
90,58.9700,58.2500,58.3000,58.3800,58.2000
91,59.0700,58.2700,58.3000,58.5100,58.1300
92,58.9700,58.3400,58.2300,58.6100,57.9300
93,59.1000,58.2000,58.3000,58.4900,58.2200
94,59.1800,58.2900,58.2600,58.6200,58.0800
95,59.0400,58.3900,58.1500,58.5900,58.0900
96,59.0800,58.2000,58.1400,58.7100,58.2600
97,59.0800,58.3100,58.0600,58.4600,58.0400
98,59.1500,58.3300,57.9600,58.5800,58.2500
99,59.2400,58.2800,58.2500,58.4900,58.2200
100,58.9900,58.3800,58.3700,58.6700,58.1200
