epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,68.8100,68.9000,69.7200,69.5000,67.9200,68.6900,67.3800
2,70.8000,71.0100,68.8200,69.6600,69.6800,69.6300,67.6100
3,69.7600,70.7200,71.0200,70.4700,69.8400,71.0700,70.5600
4,70.5200,71.1900,71.2000,69.4500,71.5300,70.5200,69.6000
5,70.3400,70.1000,70.7100,71.0500,70.7900,70.6800,68.5800
6,69.8500,69.9600,70.2200,69.4800,71.5700,71.0100,69.0000
7,70.6000,71.5900,71.5700,70.0600,71.3000,70.8400,70.1000
8,70.4000,70.5700,70.2100,67.7000,70.5000,70.8100,67.2000
9,70.7000,72.0400,71.5600,71.9800,70.4800,72.2400,70.4200
10,70.7100,71.7000,71.3000,71.4900,70.9400,69.9100,72.1500
11,70.3500,71.1700,69.7200,70.4000,70.1400,71.5700,68.7000
12,71.4900,71.3400,72.4800,71.4500,71.3400,71.2200,70.2800
13,71.1000,69.4300,70.0700,70.7500,71.2200,71.8700,70.0400
14,71.0900,71.8000,72.0200,70.8200,70.7200,71.2100,70.1500
15,70.5800,71.0000,71.0000,71.3300,71.9000,71.9500,71.8000
16,70.9700,72.0500,70.3600,70.5800,70.7300,71.8200,70.1600
17,71.9800,70.8000,70.6300,71.5400,70.3300,70.8800,69.8900
18,71.1500,70.4400,71.7100,71.8000,70.8900,70.5000,70.3100
19,71.2700,71.1800,71.4600,71.3600,70.4700,72.1500,70.8100
20,70.2300,70.8300,70.9600,72.0100,71.4100,72.3400,70.2700
21,70.4400,71.5500,71.9100,71.0400,71.6000,70.8100,69.5600
22,71.2500,70.5200,71.0000,69.6900,70.1600,70.9400,70.7600
23,71.1100,70.2300,71.0600,69.4100,71.9600,71.2400,69.0000
24,70.8200,70.5700,70.9500,71.8100,71.6500,71.6500,70.1500
25,71.4000,71.0600,71.3400,71.5400,70.7600,71.4900,70.5800
26,70.5900,70.9800,71.5900,71.6700,71.1900,70.5400,71.8800
27,71.5200,69.9000,69.6300,70.1300,70.8600,71.6200,70.2500
28,69.6700,71.2600,71.3500,71.0600,71.3900,72.0300,71.4600
29,70.9600,70.7200,70.2800,70.6100,70.6300,71.0300,70.8400
30,71.0600,71.7100,69.8300,70.6700,70.0900,71.1400,69.4300
31,71.2300,71.7900,70.6400,70.7500,71.2300,71.2600,70.6400
