epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,69.9600,70.7400,70.6300,70.4900,69.6500,70.3200,69.3000
2,70.0100,71.6500,70.8300,71.8800,70.5000,71.9700,69.4000
3,71.5400,71.7500,70.7300,70.3300,70.5600,70.5800,70.7500
4,71.2900,71.6600,70.0700,70.4100,71.8000,70.6600,68.6100
5,70.0300,70.6000,70.6100,70.5300,71.3000,70.3200,69.4300
6,70.5500,70.9100,71.2300,71.2900,71.5700,70.8200,70.8000
7,71.1200,71.0000,72.4500,70.9400,71.1300,71.8700,70.7500
8,69.8500,69.7800,70.8200,70.4600,70.9300,71.4700,69.5900
9,71.6900,71.0800,71.5600,71.3600,71.2200,71.3800,69.6500
10,71.8200,71.3900,71.2600,71.8100,71.4900,69.9000,71.9800
11,71.4500,70.7600,71.8600,70.7800,71.2200,70.9300,68.6000
12,70.9900,71.4800,71.8700,71.9900,71.8500,70.6100,70.8900
13,70.4200,70.8800,71.0800,70.7100,71.4600,72.3900,69.6000
14,71.5600,71.8500,69.2300,70.9400,70.9300,71.5800,71.2700
15,72.0000,70.7800,71.3000,71.4300,70.8000,71.0800,70.7500
16,71.0100,70.9100,70.4300,70.2700,70.5500,70.5700,71.8300
17,72.1200,70.7300,71.4600,70.8500,71.8900,70.1700,71.7000
18,71.0300,70.7700,71.7000,71.7900,72.4800,71.7800,71.4400
19,71.9600,70.8600,71.0000,71.8600,72.1200,71.9000,71.8800
20,71.6300,71.9800,71.1700,71.3300,71.7800,70.4600,70.8400
21,70.0700,71.3000,71.1000,71.6000,71.3500,70.6600,71.4300
22,70.4200,70.9400,71.5700,71.1400,71.0900,70.7600,70.0800
23,70.2400,70.1700,71.6400,71.6700,71.6700,72.1700,71.1000
24,70.2800,70.8900,71.0100,71.7200,71.5000,70.6700,69.7300
25,71.3600,71.9800,71.8700,71.8500,71.4300,71.8200,71.4000
26,71.7200,71.5600,71.1900,70.7700,71.8600,71.2900,71.0800
27,69.2600,69.8500,71.3100,71.7300,71.2200,70.3200,69.9900
28,71.2800,70.5200,72.1600,70.9600,69.8400,70.3700,70.6400
29,71.3300,70.0700,71.2500,69.8400,72.4400,71.4100,69.4500
30,69.6600,69.9600,70.8000,71.9200,71.6000,70.4700,70.9000
31,70.5200,71.3000,72.5200,71.1100,71.0200,71.3200,70.9500
32,71.3200,70.8900,71.9100,70.7400,70.0500,71.1900,69.5400
