epoch,magnitude_l1,magnitude_l2,bn_scale,fpgm,taylor,obdc,random
1,61.1900,60.2700,60.1600,64.1300,65.1800,67.2400,64.6000
2,64.2200,65.3000,65.1100,69.2100,67.7100,67.2600,67.9200
3,65.6500,67.1900,67.2600,68.7000,68.1200,68.3500,67.9600
4,67.5500,68.0200,65.8000,68.6000,69.3500,68.5900,66.5300
5,66.8000,65.4100,67.9100,69.5300,68.3300,70.1200,67.7600
6,67.4900,68.3400,67.2800,68.4400,66.3000,68.5400,66.0900
7,68.0700,68.0800,68.5400,69.9000,68.2900,69.3300,69.3100
8,68.5400,67.9400,67.3200,69.4200,68.4400,68.7800,69.3900
9,68.6200,68.0800,70.4600,69.9900,69.5800,68.6200,68.0500
10,68.7500,68.5900,69.0000,68.0100,69.7800,68.6500,68.8200
11,69.3000,69.1200,68.5100,70.6500,70.1200,69.0900,68.9900
12,69.1900,67.0700,68.6000,69.4300,70.1500,68.5300,69.9600
13,66.9400,69.4500,69.2900,70.5500,70.3300,70.2800,68.1400
14,67.9300,70.0700,68.4200,70.0600,70.0200,70.7400,69.0700
15,69.4500,69.9100,68.4000,69.0100,70.4400,71.2000,69.4000
16,70.2300,69.1000,68.8700,69.5300,70.0100,69.5800,70.8000
17,67.6300,69.5200,69.0300,69.0300,68.5600,70.0400,70.4800
18,68.0200,69.0000,67.8000,70.1300,69.8200,70.1300,70.6100
19,69.8600,69.2600,67.8600,70.5600,69.1500,70.4200,70.1000
20,66.8200,69.1500,68.0700,69.7000,69.2100,70.2600,68.6000
21,69.4500,70.2500,69.2500,70.5500,70.6700,69.6100,70.6000
22,69.3100,69.4700,69.0200,70.7800,70.5400,68.8000,71.7200
23,68.6000,68.6500,69.2000,68.6200,71.2700,70.8000,70.2100
24,69.9000,69.3000,69.9000,70.2800,70.4000,70.5100,69.7200
25,70.3700,68.4000,69.2200,70.0500,68.7300,70.3400,69.7900
26,67.8400,68.5300,69.4400,70.1700,69.7900,71.1400,69.5100
27,68.6800,69.1300,69.6000,70.5800,69.4700,71.3100,69.3500
28,71.1700,69.0000,69.9500,69.3600,70.8000,69.2400,69.5700
29,68.2100,68.6200,68.5500,70.3500,70.0200,69.6700,71.2200
30,69.7300,69.2800,69.8400,69.5600,69.9200,70.1400,71.8400
31,69.8800,68.9600,68.0100,70.7300,71.0100,70.4000,70.8700
32,69.8100,68.9300,69.8600,69.6200,70.4700,69.9800,69.8800
33,70.5200,69.3200,68.5200,68.2800,71.2500,68.8400,69.9800
34,69.9100,69.9800,68.2400,69.2000,69.9000,69.1400,71.2000
35,68.6900,69.5300,68.8200,70.2700,68.3900,69.4100,70.4100
36,70.5600,69.1300,68.8300,69.9800,68.3000,69.8400,69.8000
37,69.8300,70.3200,69.3900,71.0200,69.2700,69.7600,70.9100
38,69.4800,70.5700,69.2700,70.3800,71.5000,70.3800,70.5800
39,70.1100,67.1800,68.5600,70.2400,70.4500,68.5800,70.3200
40,70.2600,69.3700,68.3900,70.1900,69.5900,69.4500,69.8100
41,68.8700,69.2200,70.4000,68.2600,70.2500,69.8700,70.1600
42,70.0100,70.3400,70.2000,71.5800,70.4700,70.6900,69.9300
43,67.9700,67.0200,68.6200,69.3500,68.4500,70.1300,69.4500
44,67.6100,67.7600,70.3500,69.8700,71.1700,70.2800,70.9100
45,67.8700,67.6800,69.7100,67.7000,70.5200,70.5100,69.7400
46,70.1900,69.7800,69.0600,70.7900,70.8700,68.2900,71.2300
47,68.3800,69.0300,68.2900,69.1100,67.5800,69.7700,70.0700
48,68.6100,69.8500,68.9100,68.5500,70.1200,70.4500,70.1900
49,70.3800,69.0800,69.4300,68.8900,70.9000,69.5700,69.5700
50,68.7700,69.9500,68.5100,68.8300,69.5900,69.0500,71.3600
51,67.7000,68.9400,69.0600,69.1000,71.5600,70.1100,69.6300
52,67.7100,68.7800,69.3600,68.7100,68.9400,69.3700,70.1400
53,69.8400,67.8100,68.6100,69.4000,70.9000,70.2100,69.6200
54,69.5300,68.5500,68.5300,69.0200,70.5500,66.9200,68.8600
55,67.4100,69.2300,68.7100,69.6600,69.6900,69.6700,69.2900
56,68.5400,68.8000,68.6200,71.2000,67.3800,69.1200,69.3700
57,67.7300,67.3900,68.0400,70.3100,67.9900,70.6400,68.5900
58,68.5000,68.7200,67.9900,70.3300,68.4800,68.5400,67.6300
59,68.4500,68.2500,67.6700,70.3200,70.0700,70.2600,68.8100
60,69.3300,68.8000,69.1600,71.0600,70.4900,69.5400,70.8800
61,74.6300,74.6800,74.9200,75.5100,75.4800,75.7200,75.4100
62,75.2200,74.8700,75.2800,75.6900,75.8600,75.8300,75.9300
63,75.3400,75.3200,75.4600,75.9300,76.0700,76.3000,75.8300
64,75.2700,75.3800,75.4600,76.1700,76.2100,76.5000,76.0400
65,75.5000,75.3500,75.6200,76.3300,76.1400,76.5400,76.4500
66,75.3100,75.6300,75.6900,76.2400,76.4500,76.8600,76.4100
