epoch,p60,p91
1,62.5600,12.6820
2,59.7600,26.9380
3,64.9860,37.0180
4,66.5360,41.0480
5,67.5460,44.7440
6,67.8780,51.0420
7,68.0700,52.0900
8,67.9180,52.8440
9,68.8320,52.2500
10,69.2980,51.1180
11,70.0680,51.4160
12,69.7100,53.6500
13,69.3600,55.4200
14,70.7360,55.5400
15,69.9860,55.8680
16,71.0700,57.1200
17,71.5880,55.5200
18,71.4480,56.5660
19,71.8700,59.3000
20,72.1060,56.9400
21,72.7200,57.2340
22,73.0740,59.6100
23,73.7200,59.8440
24,73.6600,54.8060
25,74.1520,59.8000
26,74.5960,59.9860
27,75.1900,59.7820
28,75.5740,61.4440
29,75.8860,61.8340
30,76.3400,59.9700
31,76.6000,61.1140
32,77.0260,61.9700
33,77.3340,60.5240
34,77.5300,62.3480
35,77.7020,62.3120
36,77.8280,63.3180
37,78.0120,63.3880
38,78.0620,63.2440
39,78.0100,63.8300
40,78.0720,63.4420
41,nan,63.8640
42,nan,64.1820
43,nan,64.9080
44,nan,65.3840
45,nan,65.2680
46,nan,65.6140
47,nan,66.0040
48,nan,65.9660
49,nan,66.7060
50,nan,67.0360
51,nan,67.2540
52,nan,67.4040
53,nan,68.2380
54,nan,67.9520
55,nan,68.6000
56,nan,68.7340
57,nan,68.6560
58,nan,69.3180
59,nan,69.5840
60,nan,69.7640
61,nan,70.0320
62,nan,70.3260
63,nan,70.8620
64,nan,70.7680
65,nan,70.9060
66,nan,71.3800
67,nan,71.5500
68,nan,71.4000
69,nan,71.6500
70,nan,71.8060
71,nan,71.9280
72,nan,71.9420
73,nan,71.8780
74,nan,71.9320
75,nan,71.9700
