n,par_fps,par_lat,pipe_fps,pipe_lat
1,32.3096,30.9189,32.3096,30.9189
2,64.5564,30.8773,69.9473,18.1189
3,96.4893,30.9073,113.3253,16.2826
4,127.3771,31.0899,120.9222,19.9382
5,158.5856,31.1565,126.9984,21.0392
6,189.3234,31.2399,111.2878,26.2119
7,220.1460,31.3393,111.4733,27.8204
8,249.9262,31.5303,110.0473,32.6360
