n,par_fps,par_lat,pipe_fps,pipe_lat
1,6.9132,144.6197,6.9132,144.6197
2,13.8465,144.3615,15.3160,127.6705
3,20.7665,144.3265,25.8717,110.5616
4,27.6909,144.2520,38.9056,93.5094
5,34.5929,144.2804,51.7809,77.6873
6,41.4692,144.3648,79.9320,60.0888
7,48.3477,144.4291,129.8693,42.7772
8,55.2006,144.5199,141.2758,36.3897
