n,par_fps,par_lat,pipe_fps,pipe_lat
1,251.0067,3.9573,251.0067,3.9573
2,499.1412,3.9287,224.9122,6.0207
3,740.1106,3.9377,294.2707,6.5689
4,953.5860,4.0095,329.7408,8.8596
5,1172.0213,4.0202,341.9803,10.6407
6,1385.4046,4.0485,368.2302,10.7462
7,1595.2461,4.1042,362.5372,13.1926
8,1797.5262,4.1519,393.8211,14.0645
